cnt,exercise,ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, MAG X, MAG Y, MAG Z, raw
183,1,                -982,-191,-257,                90,-151,-23,                -300,321,426,                bytearray(b'\xbc:*\xfcA\xff\xff\xfeZ\x00i\xff\xe9\xff\xd4\xfeA\x01\xaa\x01'),
184,1,                -983,-179,-240,                74,-61,-91,                -298,313,432,                bytearray(b'\xc3:)\xfcM\xff\x10\xffJ\x00\xc3\xff\xa5\xff\xd6\xfe9\x01\xb0\x01'),
185,1,                -966,-179,-186,                51,-14,-98,                -300,307,435,                bytearray(b'\xc9::\xfcM\xffF\xff3\x00\xf2\xff\x9e\xff\xd4\xfe3\x01\xb3\x01'),
186,1,                -979,-186,-197,                49,-8,-101,                -295,312,432,                bytearray(b'\xcf:-\xfcF\xff;\xff1\x00\xf8\xff\x9b\xff\xd9\xfe8\x01\xb0\x01'),
187,1,                -962,-188,-176,                30,-7,-113,                -294,322,438,                bytearray(b'\xd5:>\xfcD\xffP\xff\x1e\x00\xf9\xff\x8f\xff\xda\xfeB\x01\xb6\x01'),
188,1,                -944,-187,-190,                16,-31,-116,                -291,321,433,                bytearray(b'\xdc:P\xfcE\xffB\xff\x10\x00\xe1\xff\x8c\xff\xdd\xfeA\x01\xb1\x01'),
189,1,                -929,-210,-208,                6,-12,-115,                -289,324,448,                bytearray(b'\xe2:_\xfc.\xff0\xff\x06\x00\xf4\xff\x8d\xff\xdf\xfeD\x01\xc0\x01'),
190,1,                -904,-229,-197,                -11,-5,-112,                -277,316,447,                bytearray(b'\xe8:x\xfc\x1b\xff;\xff\xf5\xff\xfb\xff\x90\xff\xeb\xfe<\x01\xbf\x01'),
191,1,                -892,-234,-232,                -4,-46,-79,                -283,325,439,                bytearray(b'\xee:\x84\xfc\x16\xff\x18\xff\xfc\xff\xd2\xff\xb1\xff\xe5\xfeE\x01\xb7\x01'),
192,1,                -892,-246,-256,                -4,-39,-64,                -280,319,445,                bytearray(b'\xf5:\x84\xfc\n\xff\x00\xff\xfc\xff\xd9\xff\xc0\xff\xe8\xfe?\x01\xbd\x01'),
193,1,                -882,-248,-260,                -2,4,-76,                -274,325,447,                bytearray(b'\xfb:\x8e\xfc\x08\xff\xfc\xfe\xfe\xff\x04\x00\xb4\xff\xee\xfeE\x01\xbf\x01'),
194,1,                -888,-248,-261,                4,-25,-50,                -276,324,448,                bytearray(b'\x01;\x88\xfc\x08\xff\xfb\xfe\x04\x00\xe7\xff\xce\xff\xec\xfeD\x01\xc0\x01'),
195,1,                -886,-266,-274,                18,-38,-24,                -268,322,445,                bytearray(b'\x07;\x8a\xfc\xf6\xfe\xee\xfe\x12\x00\xda\xff\xe8\xff\xf4\xfeB\x01\xbd\x01'),
196,1,                -911,-261,-214,                3,9,-43,                -268,327,445,                bytearray(b'\x0e;q\xfc\xfb\xfe*\xff\x03\x00\t\x00\xd5\xff\xf4\xfeG\x01\xbd\x01'),
197,1,                -914,-265,-260,                15,-13,1,                -270,322,438,                bytearray(b'\x14;n\xfc\xf7\xfe\xfc\xfe\x0f\x00\xf3\xff\x01\x00\xf2\xfeB\x01\xb6\x01'),
198,1,                -969,-284,-235,                18,-44,-10,                -265,330,451,                bytearray(b'\x1a;7\xfc\xe4\xfe\x15\xff\x12\x00\xd4\xff\xf6\xff\xf7\xfeJ\x01\xc3\x01'),
199,1,                -961,-258,-213,                11,-15,-60,                -270,327,450,                bytearray(b' ;?\xfc\xfe\xfe+\xff\x0b\x00\xf1\xff\xc4\xff\xf2\xfeG\x01\xc2\x01'),
200,1,                -932,-257,-241,                8,-65,-23,                -267,331,451,                bytearray(b"\';\\\xfc\xff\xfe\x0f\xff\x08\x00\xbf\xff\xe9\xff\xf5\xfeK\x01\xc3\x01"),
201,1,                -970,-291,-217,                11,-63,-34,                -277,325,444,                bytearray(b"-;6\xfc\xdd\xfe\'\xff\x0b\x00\xc1\xff\xde\xff\xeb\xfeE\x01\xbc\x01"),
202,1,                -925,-268,-188,                -16,10,-91,                -277,333,447,                bytearray(b'3;c\xfc\xf4\xfeD\xff\xf0\xff\n\x00\xa5\xff\xeb\xfeM\x01\xbf\x01'),
203,1,                -887,-257,-242,                -18,0,-49,                -262,331,447,                bytearray(b'9;\x89\xfc\xff\xfe\x0e\xff\xee\xff\x00\x00\xcf\xff\xfa\xfeK\x01\xbf\x01'),
204,1,                -932,-297,-262,                -2,-15,-30,                -267,321,454,                bytearray(b'@;\\\xfc\xd7\xfe\xfa\xfe\xfe\xff\xf1\xff\xe2\xff\xf5\xfeA\x01\xc6\x01'),
205,1,                -889,-304,-234,                6,-37,-53,                -262,337,447,                bytearray(b'F;\x87\xfc\xd0\xfe\x16\xff\x06\x00\xdb\xff\xcb\xff\xfa\xfeQ\x01\xbf\x01'),
206,1,                -840,-295,-262,                18,-77,-12,                -262,325,442,                bytearray(b'L;\xb8\xfc\xd9\xfe\xfa\xfe\x12\x00\xb3\xff\xf4\xff\xfa\xfeE\x01\xba\x01'),
207,1,                -852,-289,-268,                20,-42,0,                -253,333,450,                bytearray(b'R;\xac\xfc\xdf\xfe\xf4\xfe\x14\x00\xd6\xff\x00\x00\x03\xffM\x01\xc2\x01'),
208,1,                -861,-297,-198,                13,-8,4,                -252,333,448,                bytearray(b'Y;\xa3\xfc\xd7\xfe:\xff\r\x00\xf8\xff\x04\x00\x04\xffM\x01\xc0\x01'),
209,1,                -839,-274,-186,                6,-36,39,                -264,321,454,                bytearray(b"_;\xb9\xfc\xee\xfeF\xff\x06\x00\xdc\xff\'\x00\xf8\xfeA\x01\xc6\x01"),
210,1,                -850,-266,-217,                3,-60,75,                -267,325,442,                bytearray(b"e;\xae\xfc\xf6\xfe\'\xff\x03\x00\xc4\xffK\x00\xf5\xfeE\x01\xba\x01"),
211,1,                -899,-273,-174,                -2,-53,91,                -267,330,448,                bytearray(b'k;}\xfc\xef\xfeR\xff\xfe\xff\xcb\xff[\x00\xf5\xfeJ\x01\xc0\x01'),
212,1,                -874,-249,-178,                -23,-44,87,                -276,316,441,                bytearray(b'r;\x96\xfc\x07\xffN\xff\xe9\xff\xd4\xffW\x00\xec\xfe<\x01\xb9\x01'),
213,1,                -923,-270,-225,                -65,25,128,                -265,324,441,                bytearray(b'x;e\xfc\xf2\xfe\x1f\xff\xbf\xff\x19\x00\x80\x00\xf7\xfeD\x01\xb9\x01'),
214,1,                -939,-261,-223,                -30,-2,100,                -276,334,438,                bytearray(b'~;U\xfc\xfb\xfe!\xff\xe2\xff\xfe\xffd\x00\xec\xfeN\x01\xb6\x01'),
215,1,                -903,-235,-216,                -32,-71,127,                -274,327,448,                bytearray(b'\x84;y\xfc\x15\xff(\xff\xe0\xff\xb9\xff\x7f\x00\xee\xfeG\x01\xc0\x01'),
216,1,                -890,-227,-232,                -37,-130,169,                -289,327,436,                bytearray(b'\x8b;\x86\xfc\x1d\xff\x18\xff\xdb\xff~\xff\xa9\x00\xdf\xfeG\x01\xb4\x01'),
217,1,                -804,-207,-243,                -14,-23,151,                -285,325,442,                bytearray(b'\x91;\xdc\xfc1\xff\r\xff\xf2\xff\xe9\xff\x97\x00\xe3\xfeE\x01\xba\x01'),
218,1,                -951,-208,-186,                -31,2,147,                -291,315,433,                bytearray(b'\x97;I\xfc0\xffF\xff\xe1\xff\x02\x00\x93\x00\xdd\xfe;\x01\xb1\x01'),
219,1,                -952,-181,-237,                -18,-44,165,                -297,324,432,                bytearray(b'\x9d;H\xfcK\xff\x13\xff\xee\xff\xd4\xff\xa5\x00\xd7\xfeD\x01\xb0\x01'),
220,1,                -961,-183,-232,                -2,-74,168,                -304,321,433,                bytearray(b'\xa4;?\xfcI\xff\x18\xff\xfe\xff\xb6\xff\xa8\x00\xd0\xfeA\x01\xb1\x01'),
221,1,                -987,-157,-201,                -13,-30,145,                -307,319,429,                bytearray(b'\xaa;%\xfcc\xff7\xff\xf3\xff\xe2\xff\x91\x00\xcd\xfe?\x01\xad\x01'),
222,1,                -1022,-153,-203,                -14,-47,133,                -310,316,418,                bytearray(b'\xb0;\x02\xfcg\xff5\xff\xf2\xff\xd1\xff\x85\x00\xca\xfe<\x01\xa2\x01'),
223,1,                -1018,-149,-196,                -16,-39,107,                -309,315,426,                bytearray(b'\xb6;\x06\xfck\xff<\xff\xf0\xff\xd9\xffk\x00\xcb\xfe;\x01\xaa\x01'),
224,1,                -1036,-137,-193,                -13,-107,107,                -313,310,427,                bytearray(b'\xbd;\xf4\xfbw\xff?\xff\xf3\xff\x95\xffk\x00\xc7\xfe6\x01\xab\x01'),
