timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
6598,-134,211,980,-3,-31,0,184,-85,-3
6605,-126,212,972,-2,-37,-1,177,-88,1
6611,-129,214,981,0,-28,-2,184,-84,-12
6617,-128,210,975,-3,-29,-1,175,-88,0
6623,-129,209,977,-2,-35,0,183,-84,3
6630,-129,213,980,-2,-22,-1,183,-82,-7
6636,-132,213,978,-3,-20,-1,175,-85,-3
6642,-129,210,978,-2,-44,1,178,-82,-3
6648,-127,210,980,-2,-34,0,186,-85,-10
6655,-129,212,979,-4,-11,-2,180,-87,-7
6661,-132,213,976,-3,-23,-1,186,-87,6
6667,-132,210,979,-2,-37,0,183,-76,-6
6673,-127,210,979,-2,-37,0,184,-84,4
6680,-126,214,979,-2,-28,0,178,-79,7
6686,-130,212,978,-4,-13,-2,183,-78,0
