timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
-8324, 251, 101, 977, -4, -28, 0, -336, 111, -30
-8318, 253, 108, 984, -1, -29, 0, -340, 108, -33
-8312, 253, 106, 983, 0, -28, 0, -333, 105, -28
-8306, 251, 107, 980, -2, -28, 0, -331, 111, -27
-8299, 250, 104, 978, -1, -28, 0, -330, 102, -30
-8293, 253, 104, 977, -1, -29, 0, -346, 108, -33
-8287, 251, 103, 977, -2, -26, 0, -330, 108, -27
-8281, 250, 104, 979, -3, -27, 0, -339, 108, -33
-8274, 251, 104, 978, -2, -28, 0, -346, 115, -27
-8268, 250, 104, 977, -2, -28, 0, -342, 112, -21
-8262, 252, 103, 978, -2, -29, 0, -337, 108, -24
-8256, 251, 102, 976, -2, -28, 0, -339, 108, -33
-8249, 251, 103, 976, -1, -28, 0, -336, 115, -30
-8243, 250, 104, 976, -2, -28, 0, -339, 108, -27
-8237, 251, 103, 977, -2, -28, 0, -345, 111, -30
-8231, 251, 104, 976, -2, -28, 0, -333, 97, -24
