timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
-22171,999,34,94,-7,-54,0,-154,-552,526
-22164,1020,40,89,-10,-43,1,-145,-553,522
-22158,997,37,84,-8,-11,3,-156,-552,532
-22152,1001,44,113,0,0,-4,-162,-547,523
-22146,1002,25,95,-6,5,-4,-160,-553,528
-22139,1012,25,101,-9,-4,1,-159,-550,520
-22133,1014,34,127,-4,-44,4,-156,-552,528
-22127,990,34,111,-16,-31,4,-157,-543,520
-22121,1044,38,115,-14,-51,-4,-150,-549,537
-22114,1109,44,120,-18,-63,-5,-157,-550,526
-22108,1067,47,125,-45,-89,-13,-166,-553,528
-22102,1079,82,100,-18,135,25,-159,-547,535
-22096,1170,17,121,-88,38,11,-159,-550,529
-22089,1199,26,115,-77,177,165,-157,-546,517
-22083,1146,14,146,-70,-34,283,-148,-546,513
-22077,1136,8,177,-92,22,396,-133,-541,526
-22071,1041,-63,107,-95,6,464,-118,-543,520
-22064,1023,-56,133,-97,114,515,-106,-538,508
-22058,952,-122,162,-116,-25,452,-84,-547,513
-22052,886,-142,118,-83,-80,380,-79,-540,523
-22046,750,-177,149,-49,-46,266,-67,-534,526
-22039,1020,-221,73,-81,63,175,-48,-531,520
-22033,1023,-242,149,-33,-84,242,-43,-525,523
-22027,1022,-287,179,-142,-151,211,-36,-522,525
-22021,973,-267,86,-79,126,291,-28,-526,528
-22014,996,-313,109,-121,38,314,-15,-520,522
-22008,921,-294,86,-104,35,352,-13,-522,514
-22002,997,-353,102,-100,-98,352,4,-507,517
-21996,836,-420,34,-76,51,357,19,-508,513
-21989,881,-411,90,-75,-55,325,28,-504,526
-21983,703,-439,93,-31,-67,312,43,-493,517
-21977,708,-479,108,-90,-65,214,45,-496,525
-21971,710,-544,24,-41,84,114,54,-496,534
-21964,731,-496,146,-28,-116,88,63,-492,526
-21958,705,-537,28,-22,52,3,55,-490,519
-21952,672,-503,91,27,-155,-86,52,-481,535
-21946,752,-510,67,4,72,-168,46,-498,528
-21939,766,-444,94,58,-70,-224,52,-492,517
-21933,852,-454,89,39,23,-246,30,-505,522
-21927,852,-422,72,63,-80,-277,33,-507,525
-21921,887,-385,94,60,35,-284,25,-504,519
-21914,846,-342,95,67,36,-328,6,-508,513
-21908,849,-324,127,85,-35,-392,-13,-516,523
-21902,913,-282,74,85,72,-435,-21,-519,520
-21896,1038,-264,94,95,-53,-424,-39,-534,516
-21889,997,-193,185,113,2,-321,-51,-526,513
-21883,1093,-221,140,73,26,-307,-69,-531,513
-21877,953,-168,132,119,-14,-273,-73,-540,513
-21871,992,-130,78,90,37,-283,-82,-541,513
-21864,1034,-102,168,124,-45,-271,-96,-543,510
-21858,1074,-107,193,97,-91,-287,-102,-538,520
-21852,1024,-85,191,98,-138,-256,-109,-541,514
-21846,1130,-68,172,50,23,-217,-120,-543,511
-21839,1085,-41,202,74,-44,-144,-118,-553,511
-21833,1035,-54,137,37,-94,-119,-120,-553,517
-21827,1006,-29,138,46,-53,-90,-130,-555,517
-21821,891,-44,125,46,22,-84,-130,-553,516
-21814,888,5,134,-2,212,-65,-138,-558,510
-21808,1092,-21,160,87,136,-75,-130,-559,498
-21802,1365,-5,258,14,36,103,-138,-565,496
