cnt, time stamp, exercise, sample, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, MAG X, MAG Y, MAG Z, raw
2663, -27172, 3, 4,                 383, 401, 843,                -3, -25, 0,                -88, -118, 37,                bytearray(b'\xdc\x95\x7f\x01\x91\x01K\x03\xfd\xff\xe7\xff\x00\x00\xa8\xff\x8a\xff%\x00')
2664, -27165, 3, 4,                 387, 404, 841,                -4, -26, 0,                -94, -117, 30,                bytearray(b'\xe3\x95\x83\x01\x94\x01I\x03\xfc\xff\xe6\xff\x00\x00\xa2\xff\x8b\xff\x1e\x00')
2665, -27159, 3, 4,                 382, 402, 844,                -5, -25, 0,                -85, -111, 31,                bytearray(b'\xe9\x95~\x01\x92\x01L\x03\xfb\xff\xe7\xff\x00\x00\xab\xff\x91\xff\x1f\x00')
2666, -27153, 3, 4,                 382, 401, 843,                -4, -25, 0,                -94, -114, 33,                bytearray(b'\xef\x95~\x01\x91\x01K\x03\xfc\xff\xe7\xff\x00\x00\xa2\xff\x8e\xff!\x00')
2667, -27147, 3, 4,                 386, 403, 843,                -4, -25, 0,                -88, -118, 36,                bytearray(b'\xf5\x95\x82\x01\x93\x01K\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff\x8a\xff$\x00')
2668, -27140, 3, 4,                 385, 401, 843,                -4, -25, 0,                -94, -115, 39,                bytearray(b"\xfc\x95\x81\x01\x91\x01K\x03\xfc\xff\xe7\xff\x00\x00\xa2\xff\x8d\xff\'\x00")
2669, -27134, 3, 4,                 383, 402, 844,                -4, -25, 0,                -88, -121, 30,                bytearray(b'\x02\x96\x7f\x01\x92\x01L\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff\x87\xff\x1e\x00')
2670, -27128, 3, 4,                 384, 403, 843,                -4, -25, 0,                -96, -118, 34,                bytearray(b'\x08\x96\x80\x01\x93\x01K\x03\xfc\xff\xe7\xff\x00\x00\xa0\xff\x8a\xff"\x00')
2671, -27122, 3, 4,                 386, 400, 842,                -4, -25, 0,                -91, -111, 39,                bytearray(b"\x0e\x96\x82\x01\x90\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x91\xff\'\x00")
2672, -27115, 3, 4,                 383, 402, 842,                -4, -25, 0,                -91, -115, 34,                bytearray(b'\x15\x96\x7f\x01\x92\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x8d\xff"\x00')
2673, -27109, 3, 4,                 384, 401, 842,                -4, -25, 0,                -78, -118, 34,                bytearray(b'\x1b\x96\x80\x01\x91\x01J\x03\xfc\xff\xe7\xff\x00\x00\xb2\xff\x8a\xff"\x00')
2674, -27103, 3, 4,                 385, 401, 842,                -4, -25, 0,                -94, -120, 43,                bytearray(b'!\x96\x81\x01\x91\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa2\xff\x88\xff+\x00')
2675, -27097, 3, 4,                 383, 402, 843,                -3, -25, 0,                -88, -117, 36,                bytearray(b"\'\x96\x7f\x01\x92\x01K\x03\xfd\xff\xe7\xff\x00\x00\xa8\xff\x8b\xff$\x00")
2676, -27090, 3, 4,                 383, 402, 842,                -4, -25, 0,                -84, -114, 34,                bytearray(b'.\x96\x7f\x01\x92\x01J\x03\xfc\xff\xe7\xff\x00\x00\xac\xff\x8e\xff"\x00')
2677, -27084, 3, 4,                 385, 401, 842,                -4, -25, 0,                -88, -124, 39,                bytearray(b"4\x96\x81\x01\x91\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff\x84\xff\'\x00")
2678, -27078, 3, 4,                 383, 401, 843,                -4, -25, 0,                -84, -123, 28,                bytearray(b':\x96\x7f\x01\x91\x01K\x03\xfc\xff\xe7\xff\x00\x00\xac\xff\x85\xff\x1c\x00')
2679, -27072, 3, 4,                 383, 402, 843,                -4, -25, 0,                -91, -118, 37,                bytearray(b'@\x96\x7f\x01\x92\x01K\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x8a\xff%\x00')
2680, -27065, 3, 4,                 385, 402, 842,                -4, -25, 0,                -85, -109, 43,                bytearray(b'G\x96\x81\x01\x92\x01J\x03\xfc\xff\xe7\xff\x00\x00\xab\xff\x93\xff+\x00')
2681, -27059, 3, 4,                 384, 401, 842,                -4, -25, 0,                -88, -106, 36,                bytearray(b'M\x96\x80\x01\x91\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff\x96\xff$\x00')
2682, -27053, 3, 4,                 382, 401, 843,                -4, -25, 0,                -97, -120, 37,                bytearray(b'S\x96~\x01\x91\x01K\x03\xfc\xff\xe7\xff\x00\x00\x9f\xff\x88\xff%\x00')
2683, -27047, 3, 4,                 385, 402, 843,                -4, -25, 0,                -94, -115, 42,                bytearray(b'Y\x96\x81\x01\x92\x01K\x03\xfc\xff\xe7\xff\x00\x00\xa2\xff\x8d\xff*\x00')
2684, -27040, 3, 4,                 385, 401, 841,                -4, -25, 0,                -90, -115, 30,                bytearray(b'`\x96\x81\x01\x91\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff\x8d\xff\x1e\x00')
2685, -27034, 3, 4,                 381, 401, 843,                -4, -25, 0,                -94, -123, 42,                bytearray(b'f\x96}\x01\x91\x01K\x03\xfc\xff\xe7\xff\x00\x00\xa2\xff\x85\xff*\x00')
