timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
15436,1006,9,124,-4,-8,6,-160,-550,492
15442,1001,7,127,-6,-11,6,-163,-546,495
15448,1004,6,128,-9,-22,2,-163,-547,498
15454,1001,10,123,-9,-22,0,-169,-544,496
15461,1005,6,127,-5,-14,3,-165,-544,493
15467,1002,6,125,-9,-21,0,-159,-541,498
15473,1004,11,125,-10,-25,1,-165,-547,499
15479,1003,8,125,-4,-21,0,-166,-543,496
15486,1000,22,128,4,-21,-8,-159,-538,501
15492,1005,36,106,16,4,-49,-159,-543,493
15498,967,102,52,35,146,-62,-172,-546,496
15504,1094,101,154,14,291,-146,-168,-561,481
15511,981,119,258,39,183,-262,-180,-555,472
15517,1013,166,272,74,336,-301,-183,-556,462
15523,1154,142,293,58,540,-238,-195,-564,441
15529,1021,219,301,28,497,-86,-199,-553,417
15536,790,257,238,29,316,-279,-202,-556,400
15542,722,263,293,77,364,-457,-226,-559,391
15548,840,276,323,129,370,-564,-256,-555,375
15554,822,260,384,158,270,-555,-276,-556,360
15561,998,224,436,116,210,-429,-288,-546,351
15567,782,335,424,179,231,-405,-315,-543,342
15573,940,321,522,68,21,-382,-328,-540,345
15579,775,403,474,105,74,-364,-348,-540,343
15586,812,432,462,29,3,-364,-364,-526,343
15592,734,461,482,20,-2,-388,-376,-517,348
15598,750,487,451,-41,-37,-365,-390,-511,345
15604,747,513,452,-73,16,-368,-400,-516,339
15611,735,538,443,-133,-65,-388,-415,-493,343
15617,717,552,472,-140,-79,-408,-432,-489,340
15623,745,561,468,-179,-109,-378,-444,-486,340
15629,714,551,433,-154,-60,-321,-456,-477,345
15636,707,516,401,-115,-119,-319,-474,-466,340
15642,701,520,360,-59,-97,-305,-480,-454,349
15648,755,543,374,30,-183,-284,-489,-453,352
15654,770,553,441,80,-194,-193,-504,-444,363
15661,765,605,502,81,-202,-99,-510,-436,369
15667,681,597,429,88,-74,-62,-504,-436,378
15673,694,560,386,29,-165,-82,-511,-442,385
15679,741,491,351,-7,-31,-23,-511,-439,391
15686,811,520,327,0,97,69,-514,-448,378
15692,864,485,359,-23,255,218,-508,-442,372
15698,819,511,396,-38,305,364,-495,-456,367
15704,819,520,406,-44,79,411,-477,-454,355
15711,733,552,430,-17,-93,415,-472,-468,358
15717,635,603,399,3,-63,415,-448,-480,357
15723,568,646,407,40,-49,347,-439,-493,352
15729,545,639,431,27,-39,212,-423,-495,361
15736,602,613,438,58,14,120,-421,-502,360
15742,662,592,456,49,-8,7,-415,-492,355
15748,722,598,460,36,-54,-107,-421,-499,360
15754,907,639,505,-78,-29,-74,-426,-486,360
15761,823,568,414,-68,64,23,-424,-498,358
15767,820,438,400,-29,-10,121,-424,-496,355
15773,796,349,402,-23,-72,200,-423,-505,363
15779,754,363,429,26,-150,196,-405,-511,358
15786,794,448,419,68,-203,161,-405,-508,370
15792,801,494,405,152,-129,162,-397,-504,373
15798,820,494,379,102,-173,186,-384,-510,382
15804,837,472,333,71,-154,212,-372,-516,390
15811,801,429,304,43,-138,217,-369,-516,396
15817,842,446,303,13,-142,242,-360,-522,409
15823,876,410,284,3,-52,249,-357,-525,402
15829,907,402,303,11,-52,284,-343,-534,405
15836,933,280,310,-3,-49,346,-330,-529,393
15842,851,288,289,-28,-74,413,-313,-546,397
15848,863,208,283,-14,-55,499,-294,-538,406
15854,820,350,354,25,-186,516,-279,-544,414
15861,994,301,356,-8,-92,558,-256,-556,409
15867,1027,283,367,-25,-240,595,-237,-562,418
15873,1021,213,301,-74,-384,604,-207,-559,430
15879,966,228,243,-198,-518,552,-178,-553,451
15886,1018,134,200,-165,-461,267,-169,-552,471
15892,1034,75,156,-142,-489,141,-162,-549,483
15898,945,69,96,-46,-335,68,-169,-541,505
15904,996,34,63,-16,-240,-18,-157,-549,526
15911,983,30,34,-4,-99,-7,-165,-538,519
15917,995,22,53,11,29,30,-154,-541,517
15923,1006,6,82,-9,91,42,-165,-546,520
15929,1013,2,107,-10,73,16,-147,-541,517
15936,1008,0,107,-5,41,-6,-157,-553,505
15942,1002,9,105,-12,13,-3,-156,-540,504
15948,1009,14,109,-7,0,10,-159,-546,505
15954,1002,0,108,-11,-4,4,-156,-543,513
15961,1007,0,111,-17,-22,-3,-159,-543,502
15967,1011,19,112,-14,-43,2,-154,-549,513
15973,1003,17,93,-9,-30,12,-156,-538,510
15979,1001,3,97,7,4,13,-165,-541,507
15986,1002,-2,111,0,6,5,-150,-538,513
15992,1010,4,115,-20,-25,-2,-156,-544,504
15998,1007,20,99,-15,-36,5,-159,-541,511
16004,1000,9,92,7,3,20,-154,-549,504
16011,999,7,99,0,46,27,-159,-540,508
