timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
-5318, 963, -161, 204, -42, 6, -3, 949, -547, -328
-5312, 997, -164, 223, -51, -10, -10, 958, -544, -321
-5306, 973, -163, 162, -37, -11, -9, 981, -546, -306
-5300, 1042, -162, 235, -14, 28, 0, 981, -540, -291
-5293, 1004, -161, 151, -60, -70, 37, 996, -522, -285
-5287, 1004, -168, 166, -9, -24, 39, 994, -496, -273
-5281, 1009, -182, 223, -2, -24, 67, 990, -442, -267
-5275, 965, -184, 201, -17, -8, 66, 967, -402, -259
-5268, 1020, -182, 235, -11, 14, 53, 961, -357, -252
-5262, 979, -191, 198, -47, -16, 95, 943, -298, -238
-5256, 975, -198, 201, -10, 18, 81, 919, -249, -220
-5250, 1007, -205, 247, -20, 15, 94, 900, -201, -210
-5243, 957, -214, 195, -37, 3, 102, 855, -142, -180
-5237, 983, -224, 247, -2, 51, 95, 817, -108, -181
-5231, 953, -217, 228, -50, -7, 116, 792, -72, -145
-5225, 926, -233, 197, -11, 41, 79, 757, -40, -138
-5218, 960, -245, 268, -10, 51, 81, 720, -15, -135
-5212, 925, -245, 209, -39, 7, 81, 697, -7, -111
-5206, 961, -259, 264, -2, 49, 67, 670, 15, -111
-5200, 934, -267, 239, -32, 20, 68, 643, 21, -94
-5193, 994, -294, 257, -11, 65, 46, 622, 37, -93
-5187, 1000, -287, 332, -74, -18, 114, 603, 43, -76
-5181, 873, -287, 157, -56, 0, 99, 571, 43, -51
-5175, 938, -296, 269, 14, 69, 74, 555, 61, -45
-5168, 920, -303, 255, -36, 18, 97, 526, 69, -39
-5162, 939, -313, 250, -7, 44, 92, 505, 73, -37
-5156, 880, -315, 275, -30, -12, 99, 472, 70, -34
-5150, 888, -327, 263, -21, 21, 74, 451, 79, -42
-5143, 941, -328, 284, -6, 33, 67, 435, 90, -30
-5137, 883, -335, 263, -35, -33, 87, 415, 87, -28
-5131, 911, -349, 294, 0, 30, 63, 387, 76, -37
-5125, 897, -345, 278, -30, -14, 72, 379, 84, -33
-5118, 937, -370, 261, -7, -44, 12, 367, 73, -37
-5112, 949, -373, 350, -3, -11, 96, 343, 75, -42
-5106, 877, -378, 260, -40, -43, 74, 315, 66, -43
-5100, 946, -377, 286, 6, 34, 65, 304, 64, -34
-5093, 892, -383, 321, -24, 2, 127, 277, 57, -46
-5087, 851, -387, 253, -33, -21, 95, 265, 54, -33
-5081, 908, -413, 310, -23, -45, 29, 244, 49, -27
-5075, 859, -402, 267, -34, -8, 104, 238, 31, -33
-5068, 873, -414, 274, 0, 12, 84, 219, 34, -33
-5062, 881, -428, 319, -17, -31, 98, 208, 22, -40
-5056, 863, -430, 253, -21, 3, 87, 192, 19, -33
-5050, 933, -444, 332, 4, 2, 107, 172, 4, -43
-5043, 854, -448, 302, -53, -84, 121, 159, -9, -28
-5037, 851, -449, 256, -12, -17, 104, 153, -24, -31
-5031, 848, -455, 317, -17, -41, 108, 135, -27, -34
-5025, 832, -471, 253, -41, -74, 70, 123, -37, -36
-5018, 866, -471, 292, -1, -10, 120, 103, -48, -27
-5012, 777, -471, 258, -27, -68, 116, 85, -58, -25
-5006, 761, -480, 257, 15, -26, 53, 84, -81, -28
-5000, 720, -469, 326, -21, 19, 10, 78, -81, -30
-4993, 761, -464, 223, -33, 90, -126, 82, -76, -30
-4987, 821, -468, 323, 63, 5, -56, 78, -69, -39
-4981, 734, -464, 276, 10, 18, -24, 82, -64, -39
-4975, 800, -465, 281, 58, 14, -178, 93, -51, -42
-4968, 936, -454, 360, -11, 8, -123, 93, -40, -49
-4962, 804, -441, 248, 7, -53, -25, 115, -37, -49
-4956, 835, -454, 322, 78, 36, -142, 118, -27, -51
-4950, 907, -431, 398, -27, -7, -133, 129, -13, -58
-4943, 820, -423, 229, 20, -39, -130, 147, -3, -55
-4937, 922, -413, 363, 77, -53, -126, 154, 6, -58
-4931, 868, -382, 257, 38, -114, 7, 169, 16, -67
-4925, 851, -400, 289, 124, -30, -4, 169, 16, -61
-4918, 864, -401, 360, 67, 2, -11, 178, 28, -67
-4912, 854, -412, 329, -5, -3, -73, 192, 43, -63
-4906, 898, -390, 342, -12, -43, -58, 202, 46, -72
-4900, 852, -378, 285, -9, -62, -63, 216, 55, -67
-4893, 886, -386, 306, 39, -2, -100, 237, 64, -72
-4887, 900, -386, 342, -1, -84, -67, 246, 70, -69
-4881, 874, -373, 284, 3, -49, -79, 270, 75, -64
-4875, 916, -372, 321, 32, -30, -81, 285, 87, -66
-4868, 897, -356, 282, -22, -74, -72, 294, 82, -73
-4862, 885, -350, 285, 26, -41, -92, 312, 85, -72
-4856, 926, -342, 354, 51, -32, -63, 325, 91, -84
-4850, 885, -328, 282, 18, -77, -79, 342, 100, -84
-4843, 904, -322, 311, 73, -9, -82, 348, 93, -87
-4837, 913, -316, 335, 53, -37, -79, 366, 103, -103
-4831, 893, -315, 286, 21, -64, -84, 387, 105, -106
-4825, 937, -308, 343, 36, -56, -74, 400, 111, -102
-4818, 903, -300, 295, 6, -61, -81, 429, 103, -111
-4812, 945, -290, 285, 25, -41, -80, 450, 103, -103
-4806, 902, -285, 313, 27, -75, -59, 457, 102, -111
-4800, 907, -282, 286, 28, -55, -84, 478, 94, -126
-4793, 936, -268, 302, 40, -49, -90, 502, 90, -124
-4787, 895, -254, 270, 30, -53, -90, 526, 87, -127
-4781, 959, -256, 311, 77, -9, -116, 541, 76, -138
-4775, 951, -245, 329, 71, -46, -95, 562, 76, -151
-4768, 919, -234, 289, 69, -6, -95, 585, 67, -156
-4762, 970, -220, 349, 81, 0, -109, 606, 58, -165
-4756, 915, -205, 302, 26, -52, -77, 633, 42, -177
-4750, 912, -206, 283, 50, 0, -110, 649, 24, -171
-4743, 958, -198, 343, 20, -50, -90, 685, 7, -174
-4737, 927, -193, 277, 13, -47, -104, 717, -9, -174
-4731, 973, -176, 316, 22, -42, -91, 741, -36, -189
-4725, 927, -166, 250, 25, -52, -93, 766, -64, -195
-4718, 976, -169, 332, 59, -47, -91, 790, -100, -210
-4712, 938, -166, 282, 3, -90, -78, 810, -130, -228
-4706, 975, -149, 282, 39, -49, -72, 837, -172, -243
-4700, 975, -144, 343, 27, -65, -53, 844, -216, -259
-4693, 948, -138, 284, -20, -93, -49, 879, -256, -277
-4687, 961, -135, 301, 18, -67, -81, 894, -301, -289
-4681, 1010, -132, 308, 0, -56, -74, 907, -358, -297
-4675, 1008, -131, 291, 0, -56, -49, 907, -397, -309
-4668, 1004, -120, 307, -3, -53, -33, 927, -447, -321
-4662, 978, -113, 261, -9, -49, -32, 933, -477, -321
-4656, 951, -116, 269, 9, -32, -37, 930, -496, -333
-4650, 967, -110, 301, -6, -56, -35, 927, -525, -334
-4643, 954, -101, 254, -23, -53, -33, 927, -558, -340
-4637, 984, -101, 272, -4, -34, -46, 930, -598, -343
-4631, 976, -99, 266, -34, -71, -9, 922, -631, -339
-4625, 958, -101, 245, -14, -60, -22, 907, -669, -337
-4618, 1000, -103, 282, -32, -72, -11, 894, -696, -339
-4612, 982, -101, 255, -30, -63, 0, 888, -718, -348
-4606, 1002, -103, 270, 10, -14, -16, 882, -738, -342
-4600, 993, -104, 283, -7, -39, 6, 871, -742, -337
-4593, 964, -95, 252, -19, -45, 2, 873, -735, -337
-4587, 983, -100, 261, 4, -16, -16, 882, -748, -339
