timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
-8262, 1029, -139, 256, -20, -23, -37, 409, -499, -469
-8256, 1039, -147, 226, -11, 1, 7, 420, -502, -484
-8250, 1012, -140, 314, 19, -14, 53, 411, -480, -486
-8243, 986, -147, 273, -9, 14, 36, 423, -469, -496
-8237, 1000, -135, 280, -9, 24, 70, 441, -430, -498
-8231, 980, -148, 298, -21, 32, 76, 445, -384, -505
-8225, 927, -159, 253, -39, 12, 74, 456, -355, -505
-8218, 991, -157, 310, 18, 67, 47, 442, -300, -502
-8212, 948, -170, 272, -59, 22, 61, 457, -270, -505
-8206, 1007, -183, 294, 4, 84, 49, 459, -220, -498
-8200, 967, -186, 320, -39, 1, 95, 435, -175, -484
-8193, 977, -201, 277, 7, 103, 64, 418, -133, -483
-8187, 1064, -215, 412, 27, 116, 110, 393, -82, -465
-8181, 926, -209, 326, -113, -53, 171, 355, -37, -447
-8175, 917, -218, 277, -35, 63, 136, 330, 3, -426
-8168, 943, -230, 358, -22, 86, 135, 295, 33, -411
-8162, 898, -240, 296, -66, 25, 132, 255, 60, -391
-8156, 904, -251, 316, -1, 91, 125, 226, 81, -384
-8150, 915, -268, 401, -30, 30, 145, 181, 88, -369
-8143, 862, -273, 284, -64, 0, 118, 160, 102, -363
-8137, 922, -286, 381, 17, 96, 102, 133, 100, -348
-8131, 891, -293, 429, -51, 17, 142, 99, 112, -342
-8125, 866, -298, 305, -74, -2, 98, 85, 114, -330
-8118, 886, -321, 401, -33, 25, 112, 73, 117, -319
-8112, 862, -324, 332, -48, 51, 102, 51, 111, -318
-8106, 896, -334, 397, 0, 52, 96, 36, 109, -309
-8100, 856, -341, 366, -58, -14, 107, 15, 108, -304
-8093, 860, -354, 337, 8, 45, 86, -6, 97, -295
-8087, 891, -364, 455, 5, 51, 107, -27, 94, -292
-8081, 833, -364, 353, -52, -6, 98, -46, 82, -292
-8075, 886, -382, 402, 9, 51, 92, -64, 78, -280
-8068, 822, -384, 407, -57, -7, 130, -69, 63, -288
-8062, 844, -392, 365, -26, 31, 90, -73, 45, -288
-8056, 853, -402, 436, -17, 7, 119, -96, 42, -280
-8050, 797, -405, 350, -33, 4, 100, -109, 19, -271
-8043, 878, -430, 475, 7, 11, 126, -112, 12, -267
-8037, 805, -424, 434, -98, -98, 163, -114, -13, -258
-8031, 771, -441, 374, -34, -4, 114, -127, -27, -252
-8025, 819, -449, 499, -32, 9, 112, -123, -46, -237
-8018, 786, -450, 378, -112, -21, 86, -111, -54, -222
-8012, 811, -462, 404, -64, 21, 92, -114, -63, -226
-8006, 772, -470, 392, -68, 27, 99, -94, -75, -196
-8000, 731, -474, 341, -56, 39, 69, -100, -78, -186
-7993, 773, -490, 431, -51, -1, 90, -79, -85, -180
-7987, 724, -477, 352, -80, -20, 65, -82, -84, -175
-7981, 718, -486, 342, -2, 7, 35, -76, -93, -160
-7975, 668, -465, 348, 3, -18, 18, -79, -99, -160
-7968, 631, -475, 343, 41, 0, -56, -88, -100, -168
-7962, 660, -479, 426, 17, -53, -99, -76, -88, -171
-7956, 741, -478, 329, 9, -16, -166, -70, -58, -186
-7950, 841, -486, 468, 73, -6, -136, -79, -39, -186
-7943, 802, -469, 435, -16, -60, -113, -70, -21, -208
-7937, 810, -450, 347, 64, 32, -147, -64, -7, -213
-7931, 845, -466, 534, 60, -53, -97, -69, 7, -220
-7925, 757, -441, 354, -35, -75, -114, -52, 25, -231
-7918, 876, -433, 439, 69, 28, -121, -42, 46, -232
-7912, 796, -420, 417, -9, -65, -81, -34, 54, -232
-7906, 823, -414, 361, 49, 7, -126, -24, 72, -237
-7900, 866, -414, 464, 56, -53, -89, -10, 91, -244
-7893, 802, -389, 407, 60, -74, -91, -19, 96, -255
-7887, 881, -398, 424, 32, -53, -99, 0, 111, -265
-7881, 856, -393, 450, 9, -108, -69, -1, 118, -274
-7875, 819, -368, 363, -12, -95, -79, 18, 120, -268
-7868, 877, -370, 429, 84, 2, -81, 30, 141, -271
-7862, 845, -364, 423, 2, -81, -46, 25, 150, -282
-7856, 809, -350, 343, 6, -98, -100, 34, 151, -282
-7850, 870, -353, 445, 65, -58, -99, 51, 151, -289
-7843, 875, -339, 399, 2, -93, -95, 64, 165, -303
-7837, 874, -333, 358, 52, -35, -107, 81, 172, -310
-7831, 910, -328, 440, 39, -77, -77, 96, 175, -313
-7825, 841, -306, 375, 11, -92, -68, 114, 180, -325
-7818, 886, -307, 385, 98, 22, -120, 138, 184, -328
