timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
1672,964,-156,-234,-4,-14,0,-66,-462,663
1678,972,-161,-231,-2,-22,0,-70,-459,661
1684,969,-161,-235,-4,-14,2,-72,-454,658
1690,961,-149,-242,5,17,-1,-70,-456,658
1697,971,-156,-230,27,68,-7,-64,-454,652
1703,994,-155,-199,30,95,-17,-63,-472,648
1709,1007,-159,-193,26,88,-17,-58,-469,646
1715,1008,-139,-171,19,47,-23,-55,-472,633
1722,1067,-121,-200,-49,-27,-29,-66,-478,639
1728,1013,-104,-196,-20,105,-56,-73,-471,636
1734,997,-77,-235,-9,309,-126,-70,-484,628
1740,959,-66,-94,47,508,-203,-79,-489,610
1747,979,-65,-51,0,395,-317,-78,-507,591
1753,1002,-71,-38,-65,290,-347,-100,-513,579
1759,938,-46,-68,-25,310,-275,-105,-522,571
1765,991,-13,40,-58,213,-297,-123,-523,561
1772,872,45,74,-52,69,-330,-130,-529,555
1778,912,105,55,-134,-79,-492,-150,-531,553
1784,1143,79,77,-174,-227,-571,-184,-532,555
1790,1185,85,-17,-152,-168,-306,-199,-522,570
1797,846,180,-30,-114,-226,-269,-207,-508,573
1803,850,229,-51,-141,-175,-350,-232,-511,577
1809,893,249,-53,-125,-156,-435,-244,-508,586
1815,1074,233,-87,-142,-56,-352,-264,-501,591
1822,935,266,-43,-137,-87,-304,-273,-504,585
1828,940,315,-38,-183,-37,-290,-289,-492,589
1834,911,265,-63,-210,-15,-270,-295,-487,589
1840,933,307,-82,-149,70,-240,-319,-496,583
1847,1009,336,-43,-107,13,-230,-328,-486,577
1853,993,422,44,-112,-3,-193,-343,-487,579
1859,917,440,-7,-166,-78,-186,-349,-483,573
1865,840,417,26,-221,-108,-214,-360,-475,576
1872,916,407,-58,-201,0,-135,-369,-471,574
1878,943,404,-20,-203,-6,-97,-370,-466,573
1884,907,473,67,-235,-71,-120,-384,-477,576
1890,853,482,26,-257,-24,-128,-396,-460,561
1897,874,391,35,-349,-53,-137,-408,-466,564
1903,922,347,-27,-291,44,-92,-403,-465,556
1909,969,356,-19,-196,29,-66,-417,-460,549
1915,999,347,19,-137,-51,-7,-424,-460,540
1922,940,334,31,-74,-77,-17,-427,-463,544
1928,915,359,-6,-7,4,-51,-423,-454,540
1934,870,462,87,-21,-2,-64,-418,-459,538
1940,907,492,11,34,49,-58,-420,-457,540
1947,959,534,82,49,-55,-42,-430,-460,535
1953,840,506,71,36,-205,-46,-430,-456,552
1959,861,483,85,-36,-156,7,-430,-453,550
1965,898,478,2,-31,-146,32,-429,-451,547
1972,902,447,-84,166,217,111,-418,-448,552
1978,909,384,15,252,327,98,-426,-463,543
1984,929,324,112,246,303,148,-411,-468,537
1990,880,377,154,81,23,133,-414,-474,528
1997,884,446,62,71,-75,52,-400,-477,546
2003,926,493,30,167,-35,52,-394,-480,537
2009,1011,377,-35,353,163,156,-390,-483,541
2015,981,289,24,351,28,218,-372,-477,535
2022,950,334,70,333,-135,279,-352,-489,538
2028,941,362,127,245,-252,308,-349,-493,562
2034,899,354,66,114,-264,326,-325,-492,568
2040,899,404,-27,100,-196,324,-322,-495,559
2047,881,425,-38,130,-56,324,-319,-501,579
2053,981,389,-43,147,5,310,-282,-496,582
2059,964,358,1,135,9,305,-265,-502,576
2065,984,265,3,114,-18,286,-259,-510,568
2072,990,228,-16,88,-42,266,-250,-517,574
2078,973,194,-41,75,-49,261,-234,-516,583
2084,972,189,-11,88,-54,249,-231,-514,579
2090,1016,174,-32,93,-58,233,-214,-516,586
2097,971,116,-28,79,-78,245,-198,-510,583
2103,995,113,-44,91,-102,243,-198,-510,589
2109,996,63,-73,77,-91,260,-180,-519,589
2115,999,41,-71,91,-86,286,-159,-507,595
2122,990,30,-58,112,-102,275,-160,-508,588
2128,998,-8,-65,82,-146,302,-136,-508,592
2134,1026,-67,-108,100,-112,344,-120,-510,598
