cnt, time stamp, exercise, sample,                 ACC X, ACC Y, ACC Z,                 GYR X, GYR Y, GYR Z,                 MAG X, MAG Y, MAG Z,                 raw
1140, -5087, 3, 2                385, 405, 842,                -6, -25, 0,                -90, -127, 36,                bytearray(b'!\xec\x81\x01\x95\x01J\x03\xfa\xff\xe7\xff\x00\x00\xa6\xff\x81\xff$\x00')
1141, -5081, 3, 2                387, 403, 842,                -4, -25, 0,                -84, -126, 33,                bytearray(b"\'\xec\x83\x01\x93\x01J\x03\xfc\xff\xe7\xff\x00\x00\xac\xff\x82\xff!\x00")
1142, -5075, 3, 2                386, 404, 841,                -4, -25, 0,                -90, -126, 45,                bytearray(b'-\xec\x82\x01\x94\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff\x82\xff-\x00')
1143, -5069, 3, 2                385, 403, 841,                -4, -25, 0,                -88, -133, 39,                bytearray(b"3\xec\x81\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff{\xff\'\x00")
1144, -5062, 3, 2                388, 404, 840,                -4, -25, 0,                -91, -121, 34,                bytearray(b':\xec\x84\x01\x94\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x87\xff"\x00')
1145, -5056, 3, 2                384, 404, 842,                -5, -24, 0,                -88, -123, 45,                bytearray(b'@\xec\x80\x01\x94\x01J\x03\xfb\xff\xe8\xff\x00\x00\xa8\xff\x85\xff-\x00')
1146, -5050, 3, 2                383, 404, 843,                -4, -25, 0,                -81, -118, 51,                bytearray(b'F\xec\x7f\x01\x94\x01K\x03\xfc\xff\xe7\xff\x00\x00\xaf\xff\x8a\xff3\x00')
1147, -5044, 3, 2                387, 404, 839,                -4, -26, 0,                -81, -132, 42,                bytearray(b'L\xec\x83\x01\x94\x01G\x03\xfc\xff\xe6\xff\x00\x00\xaf\xff|\xff*\x00')
1148, -5037, 3, 2                388, 404, 839,                -4, -25, 0,                -84, -138, 46,                bytearray(b'S\xec\x84\x01\x94\x01G\x03\xfc\xff\xe7\xff\x00\x00\xac\xffv\xff.\x00')
1149, -5031, 3, 2                385, 403, 840,                -5, -25, 0,                -81, -127, 43,                bytearray(b'Y\xec\x81\x01\x93\x01H\x03\xfb\xff\xe7\xff\x00\x00\xaf\xff\x81\xff+\x00')
