timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
26709,-951,-9,292,-4,-24,1,-117,270,66
26715,-956,-11,285,-4,-31,2,-117,277,67
26722,-949,-14,281,-3,-29,0,-121,270,67
26728,-952,-13,283,-2,-35,0,-118,279,64
26734,-948,-13,292,-2,-32,0,-121,282,66
26740,-962,-14,297,-5,-30,-8,-115,274,70
26747,-964,-11,291,-6,-19,-16,-115,271,64
26753,-984,-7,292,-12,-38,-32,-118,271,63
26759,-977,-13,281,-28,-108,-61,-117,264,60
26765,-1044,-7,317,-16,-95,-123,-109,270,64
26772,-1085,-10,307,-17,-24,-205,-108,268,63
26778,-1085,-27,340,-34,-48,-299,-100,270,57
26784,-1101,-48,345,-66,-68,-414,-82,262,54
26790,-1053,-85,347,-93,-82,-534,-73,264,51
26797,-1014,-113,324,-98,-63,-611,-52,240,54
26803,-953,-189,357,-119,-6,-675,-30,243,61
26809,-914,-224,316,-98,110,-716,1,229,52
26815,-879,-291,311,-109,34,-770,18,214,60
26822,-860,-346,299,-119,73,-789,49,211,60
26828,-838,-399,298,-107,102,-814,69,201,60
26834,-791,-466,270,-113,88,-842,90,183,76
26840,-782,-505,250,-98,133,-858,106,172,78
26847,-686,-599,226,-98,169,-867,132,159,82
26853,-639,-639,231,-67,222,-858,157,139,88
26859,-569,-685,201,-49,198,-859,172,126,93
26865,-476,-757,183,-92,91,-844,187,97,97
26872,-384,-798,169,-98,6,-811,204,72,111
26878,-341,-844,129,-130,-156,-754,213,49,108
26884,-326,-871,146,-97,-70,-672,228,22,96
26890,-255,-914,144,-55,14,-607,235,-3,114
26897,-253,-922,145,-68,-58,-576,237,-18,106
26903,-193,-936,176,-67,-43,-557,244,-45,106
26909,-180,-947,153,-118,-168,-561,247,-60,108
26915,-118,-970,150,-106,-10,-548,249,-84,120
26922,-51,-960,121,-142,-144,-546,258,-114,123
26928,-19,-981,141,-126,-56,-532,259,-132,126
26934,50,-972,92,-136,-114,-526,256,-150,127
26940,65,-977,113,-129,-79,-504,253,-168,130
26947,151,-976,73,-123,-80,-485,252,-186,141
26953,164,-978,61,-141,-162,-478,246,-211,144
26959,226,-978,42,-123,-102,-431,250,-237,147
26965,303,-971,16,-101,-92,-378,238,-237,153
26972,364,-985,5,-53,-42,-291,240,-258,147
26978,405,-985,0,-26,-65,-191,235,-267,147
26984,413,-986,1,14,-33,-71,234,-274,156
26990,407,-988,32,66,29,78,238,-270,150
26997,378,-992,49,67,-8,182,235,-267,153
27003,355,-987,55,76,-4,280,226,-255,148
27009,319,-984,66,68,-56,360,240,-240,141
27015,256,-980,58,79,-74,445,247,-234,141
27022,200,-973,69,111,2,525,247,-216,138
27028,162,-970,75,133,44,588,258,-193,135
27034,92,-965,93,150,70,645,258,-165,132
27040,-2,-960,127,193,305,735,252,-144,126
27047,-98,-937,156,222,547,816,252,-97,112
27053,-131,-926,157,228,745,854,252,-57,111
27059,-191,-895,128,99,330,814,232,-3,103
27065,-343,-872,159,4,123,785,225,24,106
27072,-335,-874,153,-39,102,793,219,58,102
27078,-500,-804,98,-40,91,802,220,87,117
27084,-493,-773,98,-50,0,784,201,111,123
27090,-452,-783,122,-70,-133,758,189,139,121
27097,-541,-730,158,-95,-224,796,181,156,115
27103,-561,-700,98,-180,-566,854,154,162,117
27109,-720,-559,157,-93,-322,987,130,184,109
27115,-838,-433,165,32,12,935,114,211,109
27122,-1003,-425,169,32,-44,773,84,222,106
27128,-1012,-415,204,-24,-138,628,63,243,108
27134,-1041,-406,213,-91,-188,514,49,247,109
27140,-972,-340,157,-51,-38,393,39,256,108
27147,-945,-343,147,-22,-41,322,28,267,105
27153,-890,-357,131,-9,-63,308,13,264,108
27159,-885,-336,126,13,-76,336,10,268,102
27165,-837,-307,166,32,-74,375,0,276,106
27172,-887,-250,153,31,-161,416,-22,283,94
27178,-887,-217,178,61,-131,441,-30,283,96
27184,-980,-171,214,73,-111,456,-54,289,88
27190,-933,-128,229,51,-155,421,-67,282,93
27197,-1032,-89,244,65,-135,410,-84,280,78
27203,-1019,-58,230,58,-195,357,-90,279,84
27209,-1061,-43,284,63,-87,305,-100,286,79
27215,-1023,-14,268,43,-90,254,-117,280,75
27222,-1136,23,319,17,-123,118,-115,286,72
27228,-1095,6,295,-5,-79,23,-112,280,69
27234,-1001,-16,286,-7,-22,-32,-115,271,73
27240,-878,-30,250,-14,-39,-22,-115,283,78
