timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
26386,976,28,595,-77,1303,273,-142,-564,304
26392,913,-129,523,-11,1134,63,-132,-543,265
26398,1157,-33,580,42,987,135,-133,-538,207
26404,1036,-42,388,75,-338,288,-118,-540,204
26411,869,17,424,183,-528,518,-103,-549,229
26417,751,18,513,277,-322,597,-81,-556,243
26423,718,-36,553,287,217,616,-64,-549,235
26429,810,-54,552,327,333,586,-37,-544,222
26436,778,-73,576,428,-112,553,-24,-528,229
26442,652,-56,641,456,-90,514,-3,-531,228
26448,629,-103,716,435,-39,501,24,-523,232
26454,636,-143,775,450,205,562,25,-510,216
26461,604,-166,898,428,212,546,36,-492,192
26467,515,-234,1047,322,30,457,51,-486,190
26473,498,-281,1089,177,232,429,63,-477,177
26479,461,-319,1133,53,312,383,84,-457,165
26486,409,-318,1092,-73,235,253,94,-450,162
26492,423,-295,1028,-165,-25,57,97,-430,150
26498,381,-286,1016,-289,-213,-84,99,-442,163
26504,363,-284,950,-387,-112,-198,94,-447,174
26511,468,-305,887,-456,-173,-311,97,-459,180
26517,448,-291,820,-529,-341,-385,87,-469,207
26523,496,-255,780,-564,-240,-433,85,-484,220
26529,605,-230,701,-564,-200,-491,73,-499,244
26536,607,-195,570,-548,-171,-580,63,-514,262
26542,762,-181,545,-525,-305,-713,37,-516,270
26548,858,-141,468,-469,-316,-676,19,-537,288
26554,908,-178,450,-444,-382,-527,-3,-547,309
26561,905,-162,393,-464,-208,-347,-27,-546,331
26567,944,-181,413,-584,-415,-395,-31,-550,340
26573,976,-168,318,-401,-338,-296,-57,-549,366
26579,1002,-170,244,-281,-590,-260,-63,-553,382
26586,943,-155,177,-259,-511,-168,-69,-555,412
26592,918,-141,189,-204,-569,-106,-88,-549,439
26598,967,-135,45,-109,-226,-113,-87,-540,441
26604,1045,-105,-18,-57,-417,-181,-97,-544,468
26611,999,-95,30,-13,-436,-161,-102,-541,477
26617,1128,-130,-10,89,-37,-82,-118,-541,481
26623,1157,-133,63,131,55,-5,-111,-546,483
26629,1097,-126,8,144,-96,79,-117,-537,477
26636,953,-120,42,152,-255,120,-96,-541,489
26642,907,-155,113,198,-217,78,-97,-535,493
26648,759,-152,221,182,-238,39,-84,-532,495
26654,747,-176,179,187,121,-48,-97,-540,496
26661,709,-137,207,166,223,-148,-90,-544,490
26667,883,-131,247,149,263,-246,-99,-546,475
26673,1016,-109,298,166,86,-347,-102,-550,468
26679,1696,-144,512,99,220,-242,-118,-553,457
26686,1262,-104,355,-127,-109,50,-126,-550,445
26692,780,-20,145,-48,-96,4,-120,-553,454
