cnt, time stamp, exercise, sample,         ACC X, ACC Y, ACC Z,         GYR X, GYR Y, GYR Z,         MAG X, MAG Y, MAG Z,         raw
200, 23969, 1, 1,                 390, 407, 838,                -3, -26, -1,                -91, -127, 36,                bytearray(b'\xa1]\x86\x01\x97\x01F\x03\xfd\xff\xe6\xff\xff\xff\xa5\xff\x81\xff$\x00')
201, 23975, 1, 1,                 382, 401, 844,                -4, -25, 0,                -87, -133, 33,                bytearray(b'\xa7]~\x01\x91\x01L\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff{\xff!\x00')
202, 23981, 1, 1,                 389, 399, 847,                -5, -25, 0,                -82, -127, 45,                bytearray(b'\xad]\x85\x01\x8f\x01O\x03\xfb\xff\xe7\xff\x00\x00\xae\xff\x81\xff-\x00')
203, 23988, 1, 1,                 385, 405, 841,                -4, -24, 0,                -84, -127, 40,                bytearray(b'\xb4]\x81\x01\x95\x01I\x03\xfc\xff\xe8\xff\x00\x00\xac\xff\x81\xff(\x00')
204, 23994, 1, 1,                 380, 409, 842,                -4, -25, 0,                -84, -127, 40,                bytearray(b'\xba]|\x01\x99\x01J\x03\xfc\xff\xe7\xff\x00\x00\xac\xff\x81\xff(\x00')
205, 24000, 1, 1,                 386, 400, 843,                -5, -25, 0,                -91, -127, 33,                bytearray(b'\xc0]\x82\x01\x90\x01K\x03\xfb\xff\xe7\xff\x00\x00\xa5\xff\x81\xff!\x00')
206, 24006, 1, 1,                 390, 399, 841,                -4, -25, 0,                -85, -132, 39,                bytearray(b"\xc6]\x86\x01\x8f\x01I\x03\xfc\xff\xe7\xff\x00\x00\xab\xff|\xff\'\x00")
207, 24013, 1, 1,                 384, 405, 840,                -4, -25, 0,                -90, -132, 36,                bytearray(b'\xcd]\x80\x01\x95\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff|\xff$\x00')
208, 24019, 1, 1,                 383, 405, 842,                -4, -24, 0,                -87, -139, 39,                bytearray(b"\xd3]\x7f\x01\x95\x01J\x03\xfc\xff\xe8\xff\x00\x00\xa9\xffu\xff\'\x00")
209, 24025, 1, 1,                 382, 402, 844,                -4, -25, 0,                -87, -130, 42,                bytearray(b'\xd9]~\x01\x92\x01L\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff~\xff*\x00')
210, 24031, 1, 1,                 386, 404, 842,                -4, -26, 0,                -87, -133, 39,                bytearray(b"\xdf]\x82\x01\x94\x01J\x03\xfc\xff\xe6\xff\x00\x00\xa9\xff{\xff\'\x00")
211, 24038, 1, 1,                 389, 404, 838,                -4, -25, 0,                -91, -129, 37,                bytearray(b'\xe6]\x85\x01\x94\x01F\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x7f\xff%\x00')
212, 24044, 1, 1,                 385, 403, 841,                -4, -24, 0,                -94, -123, 48,                bytearray(b'\xec]\x81\x01\x93\x01I\x03\xfc\xff\xe8\xff\x00\x00\xa2\xff\x85\xff0\x00')
213, 24050, 1, 1,                 381, 403, 844,                -4, -25, 0,                -85, -130, 45,                bytearray(b'\xf2]}\x01\x93\x01L\x03\xfc\xff\xe7\xff\x00\x00\xab\xff~\xff-\x00')
214, 24056, 1, 1,                 384, 403, 843,                -3, -25, 0,                -91, -132, 40,                bytearray(b'\xf8]\x80\x01\x93\x01K\x03\xfd\xff\xe7\xff\x00\x00\xa5\xff|\xff(\x00')
215, 24063, 1, 1,                 388, 404, 839,                -4, -25, 0,                -81, -129, 45,                bytearray(b'\xff]\x84\x01\x94\x01G\x03\xfc\xff\xe7\xff\x00\x00\xaf\xff\x7f\xff-\x00')
216, 24069, 1, 1,                 385, 403, 841,                -4, -25, 0,                -93, -126, 36,                bytearray(b'\x05^\x81\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa3\xff\x82\xff$\x00')
217, 24075, 1, 1,                 384, 402, 844,                -4, -25, 0,                -82, -124, 36,                bytearray(b'\x0b^\x80\x01\x92\x01L\x03\xfc\xff\xe7\xff\x00\x00\xae\xff\x84\xff$\x00')
218, 24081, 1, 1,                 384, 403, 842,                -4, -25, 0,                -85, -115, 31,                bytearray(b'\x11^\x80\x01\x93\x01J\x03\xfc\xff\xe7\xff\x00\x00\xab\xff\x8d\xff\x1f\x00')
219, 24088, 1, 1,                 384, 407, 841,                -4, -25, 0,                -90, -124, 43,                bytearray(b'\x18^\x80\x01\x97\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff\x84\xff+\x00')
220, 24094, 1, 1,                 387, 398, 839,                -5, -25, 0,                -90, -124, 40,                bytearray(b'\x1e^\x83\x01\x8e\x01G\x03\xfb\xff\xe7\xff\x00\x00\xa6\xff\x84\xff(\x00')
221, 24100, 1, 1,                 387, 404, 843,                -3, -25, -1,                -88, -130, 36,                bytearray(b'$^\x83\x01\x94\x01K\x03\xfd\xff\xe7\xff\xff\xff\xa8\xff~\xff$\x00')
222, 24106, 1, 1,                 387, 411, 845,                -4, -25, 0,                -85, -127, 45,                bytearray(b'*^\x83\x01\x9b\x01M\x03\xfc\xff\xe7\xff\x00\x00\xab\xff\x81\xff-\x00')
