timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
-18464,1059,24,71,-24,4,2,-166,-535,538
-18458,1050,65,100,-29,0,42,-169,-535,544
-18452,1030,43,62,-28,71,69,-163,-541,549
-18446,1087,39,49,-32,118,65,-163,-538,541
-18439,1123,43,160,-13,32,121,-157,-549,543
-18433,1114,-9,71,-31,-14,150,-156,-546,532
-18427,1060,4,116,-61,101,203,-150,-544,537
-18421,1107,-23,133,-54,145,281,-142,-550,523
-18414,1050,-42,132,-63,27,334,-133,-538,532
-18408,1010,-79,93,-79,77,338,-118,-537,529
-18402,994,-67,120,-61,65,331,-111,-544,519
-18396,957,-108,172,-66,-16,247,-84,-544,522
-18389,1068,-153,126,-41,-154,179,-91,-535,528
-18383,965,-177,137,-60,-42,265,-82,-534,529
-18377,950,-177,118,-66,100,313,-69,-528,520
-18371,966,-213,114,-43,76,287,-55,-534,526
-18364,918,-252,103,-46,5,215,-54,-520,516
-18358,917,-277,106,-20,-142,182,-39,-531,526
-18352,908,-271,126,-39,-47,185,-42,-517,526
-18346,921,-291,78,-41,41,196,-27,-525,531
-18339,912,-303,113,-53,35,208,-19,-520,517
-18333,923,-303,139,-29,-50,201,-4,-517,525
-18327,862,-354,134,-39,-95,177,-12,-511,528
-18321,894,-341,135,-25,-30,142,-9,-516,531
-18314,928,-376,171,-27,-25,119,7,-517,520
-18308,954,-398,122,-33,1,121,7,-505,531
-18302,924,-396,122,-41,-39,128,12,-510,526
-18296,971,-375,114,-25,-96,130,13,-496,523
-18289,1013,-414,94,2,-214,133,16,-493,532
-18283,987,-423,102,-37,-217,164,25,-501,538
-18277,922,-423,72,-26,20,248,30,-493,538
-18271,849,-447,48,-42,78,266,36,-487,540
-18264,878,-457,97,-31,-72,217,54,-486,534
-18258,793,-498,60,-14,-101,196,64,-486,535
-18252,796,-516,74,-28,-210,163,70,-477,543
-18246,741,-533,89,-31,-163,196,66,-469,546
-18239,687,-546,56,-77,0,142,76,-465,556
-18233,673,-533,35,-33,133,78,69,-472,549
-18227,731,-537,32,-13,84,-30,79,-466,544
-18221,759,-537,55,18,-81,-111,81,-469,546
-18214,736,-515,10,-14,-6,-177,69,-472,549
-18208,796,-483,42,26,21,-233,66,-483,544
-18202,871,-493,42,18,-1,-261,45,-474,538
-18196,851,-462,62,27,-27,-240,40,-484,540
-18189,873,-437,56,18,73,-217,31,-486,541
-18183,877,-402,75,25,109,-199,27,-486,540
-18177,926,-407,68,44,52,-274,19,-495,537
-18171,979,-382,95,37,-65,-304,9,-508,534
-18164,1001,-343,104,44,-81,-295,0,-502,528
-18158,993,-330,97,45,-93,-284,-4,-505,538
-18152,940,-313,101,32,30,-231,-16,-510,547
-18146,961,-299,104,38,44,-194,-21,-511,528
-18139,889,-289,135,41,84,-200,-34,-517,529
-18133,1004,-255,98,19,65,-219,-40,-525,531
-18127,971,-261,135,18,-4,-176,-49,-520,528
-18121,1015,-223,129,21,74,-139,-58,-525,519
-18114,977,-207,130,25,15,-175,-61,-520,507
-18108,979,-201,119,21,-101,-235,-67,-534,528
-18102,967,-171,117,33,-28,-217,-79,-522,520
-18096,983,-155,134,24,27,-225,-84,-535,525
-18089,988,-143,151,30,0,-236,-91,-537,526
-18083,1017,-134,157,7,-48,-224,-105,-540,522
-18077,1008,-109,149,-9,6,-186,-115,-538,535
-18071,1043,-103,119,12,-3,-182,-118,-538,522
-18064,990,-77,148,-20,-12,-137,-115,-546,514
-18058,1050,-40,90,0,49,-149,-132,-541,517
-18052,1002,-55,132,22,-55,-162,-135,-544,519
-18046,1030,-22,112,0,-18,-136,-133,-549,516
-18039,1046,-31,145,14,-56,-139,-145,-541,517
-18033,1058,-26,166,-11,18,-91,-150,-552,516
-18027,1053,-27,148,-24,35,-63,-150,-550,526
-18021,1032,1,135,-23,57,-53,-157,-549,511
-18014,1048,-10,127,-1,-30,-64,-163,-544,510
