timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
14211,985,22,141,33,7,-12,-148,-547,475
14217,1041,28,179,-4,220,-4,-153,-552,466
14223,1014,3,251,-20,151,-80,-151,-544,466
14229,964,54,263,-2,11,-191,-159,-549,459
14236,976,155,194,49,119,-249,-162,-561,454
14242,1075,161,238,94,325,-256,-181,-561,445
14248,1082,167,347,124,140,-285,-193,-559,427
14254,887,173,280,177,216,-277,-199,-562,432
14261,743,259,256,228,368,-420,-208,-567,415
14267,993,233,342,134,279,-515,-231,-561,393
14273,916,241,332,153,312,-470,-256,-556,394
14279,926,226,404,117,261,-378,-271,-549,378
14286,869,281,426,91,270,-340,-285,-550,378
14292,861,292,460,20,137,-338,-298,-559,355
14298,860,316,431,24,100,-332,-312,-550,357
14304,813,354,423,-26,72,-326,-330,-546,354
14311,796,363,424,-60,4,-345,-345,-540,357
14317,758,430,371,-5,98,-378,-360,-532,354
14323,837,490,435,-58,49,-345,-373,-531,351
14329,850,511,465,-46,15,-338,-387,-517,342
14336,775,549,451,-108,-118,-326,-394,-507,351
14342,716,550,435,-100,-100,-354,-417,-499,348
14348,690,552,439,-96,-109,-347,-423,-501,357
14354,681,547,404,-86,-70,-365,-438,-505,354
14361,752,516,408,-96,-70,-361,-442,-478,355
14367,790,505,413,-95,-100,-306,-462,-477,357
14373,741,518,413,-79,-88,-275,-465,-471,363
14379,702,551,408,-65,-21,-211,-483,-469,363
14386,686,582,435,-68,-88,-205,-484,-453,366
14392,719,574,436,-64,-81,-195,-501,-450,363
14398,793,500,412,-70,-43,-145,-496,-435,366
14404,919,443,371,-48,7,-30,-502,-445,354
14411,810,474,379,-10,-19,74,-499,-445,361
14417,630,554,413,71,110,101,-502,-451,363
14423,575,628,502,21,-42,53,-490,-453,361
14429,647,666,458,-44,26,89,-498,-454,364
14436,752,627,393,41,43,147,-487,-450,361
14442,748,550,437,35,-14,201,-478,-454,363
14448,712,498,400,44,35,260,-474,-462,357
14454,663,517,417,11,-83,208,-463,-469,361
14461,653,587,419,30,-125,150,-454,-474,366
14467,680,652,437,13,-111,118,-456,-480,370
14473,741,688,414,25,-56,106,-460,-475,376
14479,762,601,368,88,-5,154,-447,-489,372
14486,750,505,383,53,-53,194,-438,-489,369
14492,774,478,369,9,-77,198,-430,-486,376
14498,765,490,370,7,-80,199,-424,-493,370
14504,799,506,378,2,-98,207,-409,-492,385
14511,834,501,380,11,-91,235,-405,-507,382
14517,854,409,351,60,-98,260,-382,-510,390
14523,837,413,342,60,-59,331,-385,-504,388
14529,886,330,336,56,-136,375,-376,-514,397
14536,861,343,322,70,-147,459,-361,-526,399
14542,847,362,312,47,-252,509,-336,-528,405
14548,872,363,304,29,-223,570,-316,-535,411
14554,928,361,321,-5,-343,602,-295,-550,418
14561,964,288,296,-57,-430,735,-264,-547,438
14567,932,331,269,-64,-464,795,-238,-549,451
14573,914,266,235,-75,-459,758,-205,-544,472
14579,995,349,200,-225,-588,575,-177,-549,490
14586,1137,144,155,-175,-686,131,-174,-534,528
14592,1013,78,-22,-87,-532,22,-175,-528,543
14598,941,52,-88,-2,-227,-66,-166,-528,546
14604,950,25,-55,17,1,-48,-177,-525,556
