cnt, time stamp, exercise, sample,                                 ACC X, ACC Y, ACC Z,                                 GYR X, GYR Y, GYR Z,                                 MAG X, MAG Y, MAG Z,                                 raw
29, -9501, 1, 1                393, 408, 849,                -4, -25, -1,                -96, -118, 52,                bytearray(b'\xe3\xda\x89\x01\x98\x01Q\x03\xfc\xff\xe7\xff\xff\xff\xa0\xff\x8a\xff4\x00')
30, -9495, 1, 1                385, 400, 841,                -4, -27, 0,                -96, -112, 52,                bytearray(b'\xe9\xda\x81\x01\x90\x01I\x03\xfc\xff\xe5\xff\x00\x00\xa0\xff\x90\xff4\x00')
31, -9489, 1, 1                388, 397, 844,                -4, -25, 0,                -85, -121, 54,                bytearray(b'\xef\xda\x84\x01\x8d\x01L\x03\xfc\xff\xe7\xff\x00\x00\xab\xff\x87\xff6\x00')
32, -9483, 1, 1                389, 393, 846,                -4, -25, 0,                -96, -124, 55,                bytearray(b'\xf5\xda\x85\x01\x89\x01N\x03\xfc\xff\xe7\xff\x00\x00\xa0\xff\x84\xff7\x00')
33, -9476, 1, 1                386, 397, 844,                -3, -25, 0,                -88, -114, 49,                bytearray(b'\xfc\xda\x82\x01\x8d\x01L\x03\xfd\xff\xe7\xff\x00\x00\xa8\xff\x8e\xff1\x00')
34, -9470, 1, 1                384, 400, 843,                -4, -25, 0,                -81, -117, 52,                bytearray(b'\x02\xdb\x80\x01\x90\x01K\x03\xfc\xff\xe7\xff\x00\x00\xaf\xff\x8b\xff4\x00')
35, -9464, 1, 1                383, 396, 847,                -6, -25, 0,                -97, -123, 60,                bytearray(b'\x08\xdb\x7f\x01\x8c\x01O\x03\xfa\xff\xe7\xff\x00\x00\x9f\xff\x85\xff<\x00')
36, -9458, 1, 1                384, 393, 847,                -4, -25, 0,                -84, -117, 45,                bytearray(b'\x0e\xdb\x80\x01\x89\x01O\x03\xfc\xff\xe7\xff\x00\x00\xac\xff\x8b\xff-\x00')
37, -9451, 1, 1                388, 398, 843,                -2, -26, 0,                -97, -129, 51,                bytearray(b'\x15\xdb\x84\x01\x8e\x01K\x03\xfe\xff\xe6\xff\x00\x00\x9f\xff\x7f\xff3\x00')
38, -9445, 1, 1                383, 398, 844,                -4, -25, 0,                -84, -117, 55,                bytearray(b'\x1b\xdb\x7f\x01\x8e\x01L\x03\xfc\xff\xe7\xff\x00\x00\xac\xff\x8b\xff7\x00')
