timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
-28497,953,-158,-276,26,58,1,-88,-456,684
-28491,957,-160,-264,26,62,0,-88,-463,679
-28485,965,-163,-251,19,42,0,-85,-462,672
-28478,966,-163,-246,9,17,0,-84,-459,673
-28472,966,-161,-246,2,-3,0,-87,-454,681
-28466,966,-162,-244,-2,-25,0,-79,-462,678
-28460,963,-163,-248,-9,-39,0,-84,-462,676
-28453,956,-162,-256,-6,-35,0,-103,-460,676
-28447,961,-160,-253,-2,-26,-1,-85,-462,682
-28441,963,-161,-253,-3,-28,0,-81,-454,678
-28435,959,-162,-253,-4,-30,1,-79,-459,679
-28428,958,-163,-255,-2,-24,0,-94,-460,685
-28422,960,-160,-255,1,-14,-1,-87,-459,672
-28416,967,-155,-248,2,-15,0,-81,-466,679
-28410,978,-153,-251,7,-17,2,-75,-459,679
-28403,1010,-162,-257,13,-20,18,-91,-451,667
-28397,976,-155,-275,36,50,33,-81,-465,675
-28391,930,-159,-303,83,160,45,-81,-463,667
-28385,1099,-199,-203,91,175,74,-70,-462,657
-28378,1017,-195,-155,70,130,128,-67,-475,652
-28372,1057,-212,-203,41,20,137,-57,-469,654
-28366,949,-213,-202,39,-80,224,-54,-469,652
-28360,1055,-268,-172,52,0,243,-52,-474,657
-28353,942,-284,-176,21,-111,221,-31,-463,657
-28347,869,-258,-171,22,-71,169,-37,-465,652
-28341,908,-276,-156,-25,-193,81,-22,-453,660
-28335,909,-276,-235,-12,-83,76,-25,-457,658
-28328,933,-289,-209,8,-71,123,-24,-444,669
-28322,940,-301,-206,50,94,145,-16,-444,669
-28316,1001,-361,-185,8,16,119,-1,-444,661
-28310,1041,-335,-213,16,67,162,-12,-445,651
-28303,973,-359,-226,37,7,216,-3,-442,652
-28297,959,-339,-193,72,80,246,10,-442,654
-28291,926,-385,-149,58,-4,231,15,-442,654
-28285,845,-373,-146,33,-39,202,30,-438,645
-28278,858,-403,-160,-6,-155,116,31,-432,652
-28272,901,-417,-197,-33,-184,90,34,-421,657
-28266,958,-454,-250,17,30,158,48,-417,655
-28260,940,-468,-199,53,-12,262,46,-414,651
-28253,989,-480,-202,43,-21,244,49,-418,648
-28247,883,-488,-145,25,-115,266,63,-414,652
-28241,837,-496,-199,42,-16,286,66,-405,657
-28235,775,-514,-149,39,-79,295,84,-396,654
-28228,685,-517,-137,40,-60,282,90,-390,646
-28222,683,-551,-137,24,-56,194,94,-381,648
-28216,569,-559,-153,22,-8,182,100,-375,652
-28210,588,-568,-162,3,14,51,108,-376,649
-28203,609,-545,-137,-32,-75,-18,97,-376,654
-28197,669,-572,-232,-26,4,-117,108,-384,651
-28191,710,-561,-102,-51,-63,-142,99,-387,648
-28185,837,-567,-233,-85,-126,-251,88,-387,648
-28178,804,-538,-203,-89,-149,-225,78,-384,663
-28172,806,-512,-223,-28,35,-163,76,-385,652
-28166,776,-508,-173,-17,63,-165,69,-387,660
-28160,827,-502,-218,-40,-26,-205,61,-397,658
-28153,828,-468,-169,-50,-43,-217,55,-408,658
-28147,866,-462,-198,-41,38,-245,51,-409,670
-28141,940,-454,-228,-56,-2,-233,42,-414,657
-28135,954,-440,-200,-45,-16,-184,37,-424,658
-28128,964,-437,-223,-48,-10,-196,24,-427,664
-28122,960,-419,-224,-56,-46,-160,30,-424,663
-28116,967,-398,-240,-30,2,-130,18,-435,660
-28110,954,-395,-213,-37,-47,-113,21,-426,660
-28103,929,-376,-209,-28,-42,-66,9,-429,661
-28097,874,-380,-190,-13,27,-81,4,-433,655
-28091,832,-361,-197,-28,-16,-90,7,-429,657
-28085,800,-335,-174,-46,-73,-126,3,-432,655
-28078,814,-326,-188,-59,-51,-189,-4,-436,658
-28072,832,-304,-187,-74,-46,-202,-15,-441,663
-28066,867,-272,-217,-56,35,-224,-22,-447,657
-28060,946,-295,-218,-84,-70,-266,-34,-448,663
-28053,950,-244,-232,-84,-89,-237,-42,-450,666
-28047,932,-223,-235,-82,-75,-296,-57,-460,678
-28041,1049,-217,-291,-105,-228,-319,-67,-454,678
-28035,1051,-193,-226,-111,-268,-259,-76,-445,688
-28028,1293,-209,-390,-126,-308,-273,-82,-438,684
-28022,1155,-161,-370,-56,-170,46,-96,-445,697
