cnt, time stamp, exercise, sample, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, MAG X, MAG Y, MAG Z, raw
38, -14016, 1, 1,                 387, 404, 839,                -4, -25, 0,                -84, -130, 30,                bytearray(b'@\xc9\x83\x01\x94\x01G\x03\xfc\xff\xe7\xff\x00\x00\xac\xff~\xff\x1e\x00')
39, -14010, 1, 1,                 392, 416, 845,                -5, -26, 0,                -84, -124, 46,                bytearray(b'F\xc9\x88\x01\xa0\x01M\x03\xfb\xff\xe6\xff\x00\x00\xac\xff\x84\xff.\x00')
40, -14004, 1, 1,                 378, 394, 841,                -6, -25, 1,                -88, -133, 39,                bytearray(b"L\xc9z\x01\x8a\x01I\x03\xfa\xff\xe7\xff\x01\x00\xa8\xff{\xff\'\x00")
41, -13997, 1, 1,                 382, 400, 835,                -4, -28, 2,                -90, -126, 39,                bytearray(b"S\xc9~\x01\x90\x01C\x03\xfc\xff\xe4\xff\x02\x00\xa6\xff\x82\xff\'\x00")
42, -13991, 1, 1,                 389, 405, 838,                -6, -26, 0,                -85, -126, 48,                bytearray(b'Y\xc9\x85\x01\x95\x01F\x03\xfa\xff\xe6\xff\x00\x00\xab\xff\x82\xff0\x00')
43, -13985, 1, 1,                 382, 400, 840,                -4, -25, 0,                -87, -133, 42,                bytearray(b'_\xc9~\x01\x90\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff{\xff*\x00')
44, -13979, 1, 1,                 385, 401, 841,                -4, -25, 0,                -87, -132, 43,                bytearray(b'e\xc9\x81\x01\x91\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff|\xff+\x00')
45, -13972, 1, 1,                 387, 407, 839,                -4, -25, 0,                -85, -129, 34,                bytearray(b'l\xc9\x83\x01\x97\x01G\x03\xfc\xff\xe7\xff\x00\x00\xab\xff\x7f\xff"\x00')
46, -13966, 1, 1,                 386, 405, 839,                -5, -25, 0,                -85, -120, 43,                bytearray(b'r\xc9\x82\x01\x95\x01G\x03\xfb\xff\xe7\xff\x00\x00\xab\xff\x88\xff+\x00')
47, -13960, 1, 1,                 386, 401, 841,                -5, -25, 0,                -91, -126, 48,                bytearray(b'x\xc9\x82\x01\x91\x01I\x03\xfb\xff\xe7\xff\x00\x00\xa5\xff\x82\xff0\x00')
48, -13954, 1, 1,                 383, 403, 842,                -4, -25, 0,                -87, -127, 40,                bytearray(b'~\xc9\x7f\x01\x93\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff\x81\xff(\x00')
49, -13947, 1, 1,                 383, 406, 840,                -4, -25, 0,                -79, -126, 39,                bytearray(b"\x85\xc9\x7f\x01\x96\x01H\x03\xfc\xff\xe7\xff\x00\x00\xb1\xff\x82\xff\'\x00")
50, -13941, 1, 1,                 388, 404, 837,                -5, -25, 0,                -79, -126, 42,                bytearray(b'\x8b\xc9\x84\x01\x94\x01E\x03\xfb\xff\xe7\xff\x00\x00\xb1\xff\x82\xff*\x00')
51, -13935, 1, 1,                 388, 401, 839,                -4, -25, 0,                -97, -130, 52,                bytearray(b'\x91\xc9\x84\x01\x91\x01G\x03\xfc\xff\xe7\xff\x00\x00\x9f\xff~\xff4\x00')
52, -13929, 1, 1,                 386, 403, 841,                -3, -25, 0,                -90, -130, 43,                bytearray(b'\x97\xc9\x82\x01\x93\x01I\x03\xfd\xff\xe7\xff\x00\x00\xa6\xff~\xff+\x00')
53, -13922, 1, 1,                 383, 404, 841,                -4, -25, 0,                -90, -118, 42,                bytearray(b'\x9e\xc9\x7f\x01\x94\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff\x8a\xff*\x00')
54, -13916, 1, 1,                 382, 403, 841,                -4, -25, 0,                -87, -132, 40,                bytearray(b'\xa4\xc9~\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff|\xff(\x00')
55, -13910, 1, 1,                 387, 405, 840,                -4, -26, 0,                -99, -130, 49,                bytearray(b'\xaa\xc9\x83\x01\x95\x01H\x03\xfc\xff\xe6\xff\x00\x00\x9d\xff~\xff1\x00')
56, -13904, 1, 1,                 389, 403, 839,                -4, -25, 0,                -87, -136, 49,                bytearray(b'\xb0\xc9\x85\x01\x93\x01G\x03\xfc\xff\xe7\xff\x00\x00\xa9\xffx\xff1\x00')
57, -13897, 1, 1,                 384, 404, 841,                -4, -25, 0,                -85, -124, 45,                bytearray(b'\xb7\xc9\x80\x01\x94\x01I\x03\xfc\xff\xe7\xff\x00\x00\xab\xff\x84\xff-\x00')
58, -13891, 1, 1,                 382, 404, 841,                -4, -25, 0,                -84, -124, 48,                bytearray(b'\xbd\xc9~\x01\x94\x01I\x03\xfc\xff\xe7\xff\x00\x00\xac\xff\x84\xff0\x00')
59, -13885, 1, 1,                 387, 403, 838,                -4, -25, 0,                -85, -132, 46,                bytearray(b'\xc3\xc9\x83\x01\x93\x01F\x03\xfc\xff\xe7\xff\x00\x00\xab\xff|\xff.\x00')
60, -13879, 1, 1,                 385, 403, 841,                -4, -25, 0,                -85, -123, 48,                bytearray(b'\xc9\xc9\x81\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xab\xff\x85\xff0\x00')
61, -13872, 1, 1,                 383, 405, 841,                -3, -25, 0,                -91, -130, 37,                bytearray(b'\xd0\xc9\x7f\x01\x95\x01I\x03\xfd\xff\xe7\xff\x00\x00\xa5\xff~\xff%\x00')
62, -13866, 1, 1,                 386, 406, 839,                -4, -25, 0,                -85, -132, 46,                bytearray(b'\xd6\xc9\x82\x01\x96\x01G\x03\xfc\xff\xe7\xff\x00\x00\xab\xff|\xff.\x00')
63, -13860, 1, 1,                 385, 403, 841,                -5, -25, 0,                -93, -127, 40,                bytearray(b'\xdc\xc9\x81\x01\x93\x01I\x03\xfb\xff\xe7\xff\x00\x00\xa3\xff\x81\xff(\x00')
64, -13854, 1, 1,                 385, 402, 839,                -4, -25, 0,                -87, -132, 40,                bytearray(b'\xe2\xc9\x81\x01\x92\x01G\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff|\xff(\x00')
