timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
-24119,-933,-90,-332,-9,-28,4,-40,379,349
-24113,-937,-93,-331,-9,-21,3,-48,381,355
-24107,-942,-87,-326,-17,-11,-1,-48,385,348
-24100,-934,-94,-337,-7,-56,-5,-46,382,340
-24094,-925,-92,-322,-8,2,-8,-48,385,355
-24088,-915,-92,-329,-3,-25,7,-54,378,348
-24082,-933,-94,-330,-8,16,0,-49,388,352
-24075,-931,-91,-334,-1,-43,4,-51,384,346
-24069,-929,-92,-325,-9,-7,0,-51,391,349
-24063,-931,-94,-332,-8,-29,2,-43,384,351
-24057,-939,-94,-328,-10,-4,-1,-51,385,355
-24050,-934,-89,-336,-13,-27,-1,-49,388,358
-24044,-962,-83,-351,-20,57,-32,-51,382,346
-24038,-979,-98,-356,-3,77,-70,-43,387,358
-24032,-968,-109,-358,4,111,-73,-42,382,360
-24025,-957,-105,-369,21,143,-103,-40,370,367
-24019,-964,-124,-384,35,46,-132,-36,376,366
-24013,-960,-129,-389,39,66,-149,-27,379,370
-24007,-949,-137,-405,59,73,-176,-15,378,370
-24000,-948,-154,-412,67,82,-219,-15,366,375
-23994,-961,-168,-419,91,81,-270,1,364,370
-23988,-955,-190,-425,108,65,-338,12,367,384
-23982,-967,-224,-424,139,23,-410,33,349,375
-23975,-932,-257,-423,152,121,-450,37,346,378
-23969,-869,-297,-410,184,133,-508,69,342,385
-23963,-811,-328,-420,191,147,-524,81,327,390
-23957,-823,-367,-434,215,125,-553,103,313,384
-23950,-840,-400,-453,247,151,-589,120,301,375
-23944,-789,-467,-457,318,159,-661,154,283,385
-23938,-772,-510,-424,350,78,-723,165,267,360
-23932,-646,-544,-376,374,-6,-775,193,244,360
-23925,-640,-607,-340,361,-2,-791,201,222,354
-23919,-575,-682,-324,348,96,-788,231,195,337
-23913,-512,-738,-307,346,201,-784,261,165,321
-23907,-463,-758,-315,363,182,-797,262,136,325
-23900,-387,-789,-293,383,129,-833,282,115,303
-23894,-293,-824,-257,387,-4,-874,292,70,283
-23888,-247,-845,-207,380,42,-864,297,39,277
-23882,-100,-879,-195,357,-109,-894,304,-3,255
-23875,-81,-881,-162,357,-100,-882,307,-37,240
-23869,50,-912,-125,333,-62,-855,297,-67,228
-23863,173,-925,-74,305,-170,-836,301,-103,211
-23857,193,-947,-14,283,-108,-786,288,-136,198
-23850,288,-943,-17,226,-44,-698,285,-166,184
-23844,375,-938,13,197,-72,-591,268,-190,183
-23838,406,-955,40,168,-78,-498,267,-211,178
-23832,460,-952,54,112,-30,-402,261,-232,165
-23825,553,-952,63,70,-18,-275,258,-250,165
-23819,625,-955,65,11,-35,-51,250,-249,166
-23813,588,-944,67,-54,-37,130,253,-247,174
-23807,525,-941,48,-115,-28,294,256,-234,172
-23800,464,-941,12,-153,23,429,267,-223,165
-23794,388,-942,-8,-180,14,548,273,-208,180
-23788,327,-940,-18,-198,2,626,276,-183,178
-23782,267,-938,-36,-223,-25,697,291,-159,196
-23775,211,-936,-47,-252,-51,769,291,-135,210
-23769,112,-925,-62,-260,43,890,301,-99,213
-23763,-10,-910,-64,-315,350,1015,306,-52,223
-23757,-67,-867,-116,-423,573,1089,303,3,252
-23750,-127,-822,-209,-492,390,1038,289,48,274
-23744,-329,-783,-269,-499,245,956,285,91,301
-23738,-434,-768,-333,-504,-59,842,270,114,315
-23732,-540,-769,-389,-492,-348,765,253,154,333
-23725,-474,-725,-348,-506,-336,738,247,178,339
-23719,-465,-645,-338,-482,-410,756,232,196,355
-23713,-553,-590,-344,-441,-186,780,198,223,352
-23707,-737,-526,-451,-434,-256,797,178,252,366
-23700,-737,-486,-458,-422,-420,798,159,273,379
-23694,-769,-399,-431,-366,-330,770,132,298,382
-23688,-901,-333,-441,-291,-250,716,109,309,370
-23682,-922,-321,-440,-240,-107,635,87,330,367
-23675,-959,-303,-450,-217,-154,576,60,339,376
-23669,-980,-238,-443,-168,-102,460,46,349,376
-23663,-995,-229,-436,-121,-114,353,27,360,381
-23657,-966,-218,-410,-105,-91,287,22,363,379
-23650,-952,-186,-410,-87,-90,226,-1,372,378
-23644,-949,-185,-392,-62,-41,175,-3,370,373
-23638,-889,-179,-382,-65,-12,156,-13,372,370
-23632,-888,-160,-381,-68,-45,154,-18,376,378
-23625,-880,-146,-379,-68,-65,163,-22,378,375
-23619,-938,-121,-403,-60,-49,148,-30,373,375
-23613,-988,-112,-415,-37,-70,103,-45,375,369
-23607,-988,-106,-416,-18,-69,54,-45,388,372
-23600,-961,-107,-388,-4,-71,1,-34,381,370
