timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
21559,-951,-17,264,-8,-31,-16,-112,282,84
21565,-987,-19,273,-5,-13,-25,-105,282,73
21572,-950,-26,262,-14,-50,-36,-115,282,75
21578,-923,-32,246,-3,-23,-9,-102,276,78
21584,-939,-27,266,4,-14,-2,-111,279,75
21590,-1022,-16,279,-3,-30,-22,-114,286,79
21597,-1121,-7,285,-14,-11,-116,-108,280,81
21603,-1123,-15,272,-34,-28,-228,-100,277,78
21609,-1113,-36,287,-51,-30,-331,-93,280,81
21615,-1064,-58,283,-56,3,-433,-79,279,76
21622,-1047,-97,297,-63,30,-541,-52,271,75
21628,-1024,-134,289,-88,2,-608,-43,273,78
21634,-995,-176,255,-72,106,-658,-27,258,85
21640,-961,-223,241,-54,165,-723,7,259,91
21647,-932,-279,229,-69,135,-794,28,250,96
21653,-916,-344,197,-60,128,-841,42,235,106
21659,-898,-401,184,-36,179,-895,81,226,103
21665,-848,-452,177,-9,243,-956,103,211,118
21672,-765,-526,142,-2,180,-999,120,195,115
21678,-594,-612,135,3,136,-990,144,178,109
21684,-518,-671,125,-9,91,-929,169,147,124
21690,-399,-753,115,-14,0,-840,190,121,121
21697,-415,-790,152,0,7,-725,198,105,114
21703,-387,-864,158,21,12,-693,222,73,121
21709,-477,-858,162,-10,11,-688,223,48,118
21715,-336,-891,168,-28,0,-737,235,28,112
21722,-373,-857,158,-88,-51,-770,247,-3,121
21728,-245,-891,140,-115,-88,-840,252,-31,120
21734,-172,-913,100,-207,-286,-898,250,-73,127
21740,-75,-918,120,-167,-58,-900,256,-97,136
21747,91,-916,49,-178,-163,-905,262,-135,141
21753,119,-928,67,-221,-266,-877,258,-172,153
21759,263,-938,37,-189,-122,-810,252,-208,153
21765,365,-956,-2,-202,-214,-754,253,-243,162
21772,534,-969,-55,-172,-217,-595,237,-271,171
21778,578,-979,-84,-128,-254,-399,237,-292,180
21784,611,-989,-51,-26,-49,-144,232,-310,184
21790,549,-968,-35,-9,-66,87,235,-288,180
21797,454,-952,-39,31,-21,273,244,-283,180
21803,370,-960,-30,77,77,353,244,-273,178
21809,320,-969,-22,95,112,389,259,-259,162
21815,312,-970,-27,90,18,406,250,-246,165
21822,276,-972,-9,84,-179,452,250,-232,165
21828,194,-973,17,120,-95,532,267,-210,159
21834,182,-969,27,159,63,610,268,-183,162
21840,163,-963,35,151,-37,647,268,-162,141
21847,49,-962,71,159,-3,723,267,-144,154
21853,4,-950,77,175,86,805,267,-111,136
21859,-26,-938,99,183,159,884,265,-70,130
21865,-132,-898,97,185,279,991,262,-34,136
21872,-199,-852,110,158,363,1126,249,16,133
21878,-254,-786,120,119,424,1238,225,67,135
21884,-400,-691,119,75,466,1331,207,120,136
21890,-581,-582,87,-8,231,1313,169,169,139
21897,-792,-556,85,-148,-235,1162,150,202,145
21903,-1043,-480,78,-165,-329,1041,127,220,148
21909,-1041,-455,95,-164,-283,837,94,244,144
21915,-1105,-388,71,-133,-257,656,82,253,141
21922,-960,-414,80,-42,-21,478,70,261,139
21928,-927,-401,-1,-59,-194,410,58,268,133
21934,-825,-397,65,-18,-67,386,48,274,141
21940,-825,-381,98,-42,-227,399,27,277,132
21947,-916,-304,133,51,-33,448,18,280,129
21953,-920,-305,155,5,-188,468,0,286,129
21959,-938,-235,130,25,-82,509,-18,289,130
21965,-995,-172,177,35,-51,461,-43,294,124
21972,-1034,-171,159,13,-156,380,-54,295,124
21978,-1016,-130,165,21,-70,378,-63,298,111
21984,-1009,-103,159,21,-106,328,-67,304,114
21990,-996,-86,152,41,-35,307,-82,304,118
21997,-998,-58,181,43,-66,277,-88,304,115
22003,-998,-34,157,44,-49,263,-106,315,102
22009,-972,-27,184,27,-119,243,-108,307,111
22015,-1001,-1,188,21,-143,238,-117,303,102
22022,-1179,39,237,8,-86,84,-126,307,102
22028,-1124,25,231,-6,-58,7,-120,300,102
22034,-992,4,213,-13,9,-44,-124,307,102
22040,-909,-6,182,-11,-8,-36,-126,303,103
22047,-906,-11,169,-3,-25,3,-126,303,103
