timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
24784,-951,19,296,-2,-22,-2,-126,273,63
24790,-942,18,290,-7,-39,1,-127,283,69
24797,-945,20,292,-2,-27,0,-130,267,66
24803,-953,20,294,-3,-37,2,-127,279,61
24809,-956,18,295,-4,-29,0,-129,280,76
24815,-957,19,299,-9,-26,-7,-130,274,70
24822,-968,27,282,-11,-30,-14,-127,280,70
24828,-1023,25,294,0,4,-21,-124,271,64
24834,-1001,25,299,9,93,-56,-123,282,66
24840,-986,10,278,2,104,-89,-118,271,69
24847,-1030,18,260,0,114,-124,-126,277,73
24853,-1104,27,237,17,177,-213,-120,286,79
24859,-1112,3,228,4,88,-335,-115,285,97
24865,-1129,-24,253,-33,19,-473,-96,288,90
24872,-1078,-52,239,-44,2,-587,-79,286,90
24878,-1023,-96,252,-62,-61,-683,-51,282,93
24884,-966,-151,235,-46,12,-715,-25,273,84
24890,-930,-213,211,-33,88,-718,-9,271,90
24897,-895,-262,187,-27,32,-784,16,258,88
24903,-879,-367,242,-68,-12,-817,42,243,91
24909,-854,-394,207,-62,66,-814,61,231,94
24915,-812,-463,203,-56,34,-846,88,214,99
24922,-771,-501,188,-57,20,-867,112,198,99
24928,-728,-589,185,-68,28,-876,130,174,108
24934,-671,-637,177,-59,53,-884,154,154,106
24940,-641,-665,156,-18,145,-885,169,133,109
24947,-503,-738,142,-19,81,-907,196,103,100
24953,-419,-781,171,-11,70,-896,213,87,102
24959,-349,-829,147,-26,9,-870,216,52,112
24965,-271,-877,149,-57,-107,-822,229,16,112
24972,-206,-899,158,-48,-70,-775,237,-3,100
24978,-155,-928,158,-54,-70,-732,238,-34,108
24984,-129,-928,157,-60,-80,-695,253,-57,117
24990,-41,-965,152,-81,-124,-653,244,-90,106
24997,-63,-955,141,-133,-222,-635,246,-126,114
25003,38,-975,124,-106,-56,-603,249,-139,114
25009,104,-963,100,-158,-312,-609,243,-163,124
25015,115,-963,129,-120,-34,-556,249,-192,133
25022,235,-967,49,-130,-150,-553,244,-213,135
25028,269,-957,62,-133,-155,-512,238,-241,138
25034,385,-989,39,-74,-30,-382,240,-246,144
25040,435,-983,13,-70,-120,-281,234,-267,138
25047,452,-988,18,-30,-75,-143,235,-267,147
25053,444,-982,29,12,-22,2,231,-268,142
25059,405,-976,30,52,0,144,223,-276,157
25065,347,-976,52,68,-4,221,235,-253,135
25072,298,-975,73,88,51,287,232,-240,139
25078,305,-981,68,98,48,340,237,-225,139
25084,287,-980,66,65,-165,378,237,-228,130
25090,201,-979,77,82,-178,438,241,-216,133
25097,182,-974,87,140,17,529,258,-202,126
25103,167,-966,90,144,-58,568,247,-180,126
25109,61,-962,140,172,50,651,247,-151,123
25115,35,-965,152,174,100,717,249,-132,112
25122,-34,-945,180,169,194,788,243,-96,103
25128,-90,-923,182,165,289,875,240,-66,102
25134,-164,-883,183,142,344,970,226,-13,102
25140,-240,-830,171,116,393,1067,220,43,100
25147,-335,-762,181,88,454,1157,198,82,112
25153,-475,-682,149,20,306,1178,172,135,105
25159,-664,-633,142,-137,-225,1079,157,162,115
25165,-799,-622,169,-177,-322,986,136,178,114
25172,-965,-514,146,-124,-210,886,114,201,114
25178,-976,-476,121,-81,-107,716,94,220,109
25184,-959,-457,141,-36,-19,529,87,228,112
25190,-924,-493,140,-67,-190,399,67,241,108
25197,-962,-461,125,-63,-140,378,60,246,114
25203,-864,-433,139,-12,2,340,52,252,120
25209,-865,-429,181,0,-45,305,49,250,118
25215,-857,-425,162,-22,-101,319,45,265,108
25222,-857,-382,162,-14,-95,347,22,259,109
25228,-868,-348,161,7,-67,371,9,262,105
25234,-892,-314,168,4,-109,401,4,277,105
25240,-887,-283,171,11,-109,424,-4,270,105
25247,-942,-237,182,26,-70,440,-27,276,99
25253,-938,-198,180,43,-53,443,-43,283,99
25259,-977,-167,207,30,-98,416,-60,282,91
25265,-1010,-124,213,35,-77,396,-57,292,99
25272,-998,-94,206,31,-76,361,-79,294,93
25278,-1020,-63,219,28,-102,317,-90,292,91
25284,-1014,-43,231,31,-56,278,-100,297,99
25290,-1006,-24,223,25,-82,241,-108,295,90
25297,-1006,-11,225,21,-79,224,-120,291,90
25303,-1116,26,238,7,-157,123,-123,286,81
25309,-1080,11,265,-1,-119,25,-129,292,82
