cnt, time stamp, exercise, sample, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, MAG X, MAG Y, MAG Z, raw
111, -29970, 2, 1,                 389, 403, 838,                -3, -25, 0,                -85, -127, 45,                bytearray(b'\xee\x8a\x85\x01\x93\x01F\x03\xfd\xff\xe7\xff\x00\x00\xab\xff\x81\xff-\x00')
112, -29964, 2, 1,                 388, 404, 838,                -3, -25, 0,                -79, -129, 37,                bytearray(b'\xf4\x8a\x84\x01\x94\x01F\x03\xfd\xff\xe7\xff\x00\x00\xb1\xff\x7f\xff%\x00')
113, -29958, 2, 1,                 382, 405, 842,                -4, -24, 0,                -91, -130, 42,                bytearray(b'\xfa\x8a~\x01\x95\x01J\x03\xfc\xff\xe8\xff\x00\x00\xa5\xff~\xff*\x00')
114, -29952, 2, 1,                 382, 405, 841,                -3, -25, 0,                -81, -129, 42,                bytearray(b'\x00\x8b~\x01\x95\x01I\x03\xfd\xff\xe7\xff\x00\x00\xaf\xff\x7f\xff*\x00')
115, -29945, 2, 1,                 387, 402, 839,                -4, -25, 0,                -87, -124, 36,                bytearray(b'\x07\x8b\x83\x01\x92\x01G\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff\x84\xff$\x00')
116, -29939, 2, 1,                 387, 403, 839,                -4, -25, 0,                -91, -129, 43,                bytearray(b'\r\x8b\x83\x01\x93\x01G\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x7f\xff+\x00')
117, -29933, 2, 1,                 386, 405, 840,                -4, -25, 0,                -79, -138, 45,                bytearray(b'\x13\x8b\x82\x01\x95\x01H\x03\xfc\xff\xe7\xff\x00\x00\xb1\xffv\xff-\x00')
118, -29927, 2, 1,                 386, 403, 841,                -4, -25, 0,                -96, -124, 39,                bytearray(b"\x19\x8b\x82\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa0\xff\x84\xff\'\x00")
119, -29920, 2, 1,                 383, 404, 841,                -4, -25, 0,                -84, -120, 46,                bytearray(b' \x8b\x7f\x01\x94\x01I\x03\xfc\xff\xe7\xff\x00\x00\xac\xff\x88\xff.\x00')
120, -29914, 2, 1,                 383, 405, 840,                -4, -25, 0,                -88, -133, 46,                bytearray(b'&\x8b\x7f\x01\x95\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff{\xff.\x00')
121, -29908, 2, 1,                 389, 404, 838,                -4, -25, 0,                -88, -129, 42,                bytearray(b',\x8b\x85\x01\x94\x01F\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff\x7f\xff*\x00')
122, -29902, 2, 1,                 386, 403, 839,                -4, -25, 0,                -88, -130, 45,                bytearray(b'2\x8b\x82\x01\x93\x01G\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff~\xff-\x00')
123, -29895, 2, 1,                 383, 404, 841,                -4, -25, 0,                -87, -132, 42,                bytearray(b'9\x8b\x7f\x01\x94\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff|\xff*\x00')
298, -28802, 2, 2,                 386, 402, 839,                -3, -25, 0,                -90, -129, 45,                bytearray(b'~\x8f\x82\x01\x92\x01G\x03\xfd\xff\xe7\xff\x00\x00\xa6\xff\x7f\xff-\x00')
299, -28795, 2, 2,                 387, 404, 838,                -2, -25, 0,                -85, -126, 36,                bytearray(b'\x85\x8f\x83\x01\x94\x01F\x03\xfe\xff\xe7\xff\x00\x00\xab\xff\x82\xff$\x00')
300, -28789, 2, 2,                 388, 412, 843,                -4, -25, 0,                -81, -130, 46,                bytearray(b'\x8b\x8f\x84\x01\x9c\x01K\x03\xfc\xff\xe7\xff\x00\x00\xaf\xff~\xff.\x00')
301, -28783, 2, 2,                 381, 397, 838,                -3, -24, 0,                -84, -130, 42,                bytearray(b'\x91\x8f}\x01\x8d\x01F\x03\xfd\xff\xe8\xff\x00\x00\xac\xff~\xff*\x00')
302, -28777, 2, 2,                 384, 404, 841,                -4, -25, -1,                -90, -123, 39,                bytearray(b"\x97\x8f\x80\x01\x94\x01I\x03\xfc\xff\xe7\xff\xff\xff\xa6\xff\x85\xff\'\x00")
303, -28770, 2, 2,                 382, 403, 841,                -2, -25, 0,                -82, -130, 43,                bytearray(b'\x9e\x8f~\x01\x93\x01I\x03\xfe\xff\xe7\xff\x00\x00\xae\xff~\xff+\x00')
304, -28764, 2, 2,                 388, 403, 838,                -4, -26, 0,                -90, -124, 37,                bytearray(b'\xa4\x8f\x84\x01\x93\x01F\x03\xfc\xff\xe6\xff\x00\x00\xa6\xff\x84\xff%\x00')
305, -28758, 2, 2,                 388, 403, 840,                -4, -25, 0,                -91, -133, 43,                bytearray(b'\xaa\x8f\x84\x01\x93\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff{\xff+\x00')
306, -28752, 2, 2,                 384, 405, 839,                -4, -25, 0,                -79, -124, 42,                bytearray(b'\xb0\x8f\x80\x01\x95\x01G\x03\xfc\xff\xe7\xff\x00\x00\xb1\xff\x84\xff*\x00')
