timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
-20637, 1018, -173, -5, 2, -20, 16, 594, -543, -256
-20631, 1057, -184, 0, -4, -16, 39, 585, -535, -256
-20624, 1022, -181, -12, 2, -18, 60, 586, -507, -268
-20618, 1027, -193, 13, 2, -4, 68, 589, -475, -265
-20612, 1032, -182, -5, -18, -14, 80, 595, -438, -276
-20606, 1046, -195, -6, 16, 11, 85, 589, -402, -279
-20599, 1014, -211, 15, -9, -28, 124, 573, -361, -285
-20593, 995, -212, 0, 0, 0, 116, 552, -315, -280
-20587, 1023, -225, 22, -8, -8, 127, 538, -274, -277
-20581, 943, -232, -19, -15, 9, 136, 508, -243, -271
-20575, 1006, -247, 38, 16, 23, 125, 480, -202, -273
-20568, 952, -246, -2, -11, 7, 129, 454, -187, -267
-20562, 963, -258, -5, 18, 39, 105, 432, -172, -261
-20556, 950, -273, 29, -11, -11, 121, 415, -154, -261
-20550, 943, -282, 3, 4, 14, 92, 391, -132, -250
-20543, 977, -290, 29, 2, -7, 99, 366, -130, -247
-20537, 915, -295, 0, 0, -18, 101, 346, -130, -244
-20531, 996, -318, 50, 20, -18, 77, 325, -118, -252
-20524, 943, -310, 21, -24, -54, 114, 309, -105, -234
-20518, 953, -319, 13, 30, 17, 69, 286, -120, -250
-20512, 958, -331, 72, 21, -14, 99, 265, -106, -240
-20506, 901, -329, 2, -6, 9, 58, 253, -108, -240
-20500, 1024, -352, 58, 30, -5, 57, 229, -100, -237
-20493, 908, -340, 31, -21, -46, 108, 211, -111, -235
-20487, 949, -358, 23, 41, 40, 43, 201, -114, -231
-20481, 945, -353, 48, -3, -25, 96, 183, -120, -229
-20475, 944, -370, 27, 29, 8, 76, 183, -127, -231
-20468, 968, -379, 84, 16, -32, 95, 150, -133, -222
-20462, 877, -371, 11, -7, -31, 92, 138, -139, -216
-20456, 976, -404, 83, 37, 26, 62, 121, -133, -211
-20449, 939, -394, 66, -22, -42, 117, 114, -135, -202
-20443, 886, -396, 32, 16, 9, 77, 105, -150, -204
-20437, 941, -415, 85, -3, -7, 94, 85, -153, -199
-20431, 902, -412, 12, -1, 9, 84, 69, -156, -193
-20425, 963, -435, 102, 39, 6, 89, 72, -174, -187
-20418, 865, -431, 51, -32, -37, 111, 61, -177, -180
-20412, 949, -445, 66, 48, 52, 84, 61, -186, -180
-20406, 873, -447, 97, 0, 2, 113, 46, -189, -178
-20400, 898, -456, 41, 19, 57, 74, 40, -204, -163
-20393, 944, -473, 126, 23, -12, 116, 22, -207, -165
-20387, 815, -448, 42, -21, -45, 130, 25, -208, -150
-20381, 864, -477, 90, 46, 15, 67, 15, -225, -157
-20374, 829, -474, 88, -10, -65, 102, 4, -229, -144
-20368, 811, -480, 58, 21, -21, 59, 6, -235, -135
-20362, 830, -473, 115, -7, -79, 60, 13, -256, -132
-20356, 759, -465, 53, 0, -35, 9, -6, -247, -142
-20350, 801, -479, 118, 49, 0, -59, 0, -253, -139
-20343, 793, -463, 121, -23, -64, -54, 3, -250, -154
-20337, 866, -473, 86, 23, 17, -130, 1, -237, -157
-20331, 914, -482, 125, -27, -72, -103, 0, -231, -169
-20324, 874, -456, 50, -53, -77, -91, 15, -220, -178
-20318, 935, -468, 93, 46, 9, -141, 24, -207, -186
-20312, 893, -437, 85, -43, -88, -67, 24, -204, -190
-20306, 838, -440, 24, 29, 27, -139, 33, -192, -190
-20299, 958, -446, 135, -38, -97, -119, 33, -178, -201
-20293, 861, -412, -5, -57, -80, -91, 46, -177, -210
-20287, 994, -424, 156, 38, -43, -116, 52, -159, -222
-20281, 862, -398, 56, -79, -120, -73, 73, -157, -222
-20275, 950, -394, 37, 36, 23, -148, 82, -144, -223
-20268, 932, -394, 136, -37, -119, -75, 99, -133, -220
-20262, 878, -376, -4, -45, -41, -130, 123, -126, -231
-20256, 1015, -393, 104, -18, -65, -112, 141, -118, -237
-20249, 932, -371, 16, -91, -110, -70, 163, -118, -229
-20243, 930, -366, -4, -21, -27, -107, 195, -121, -220
-20237, 1006, -363, 62, -30, -87, -65, 201, -112, -243
-20231, 887, -332, -32, -32, -70, -66, 219, -102, -234
-20224, 971, -348, 47, 49, -13, -121, 232, -109, -240
-20218, 932, -323, 29, -42, -124, -57, 253, -112, -253
-20212, 894, -317, -48, 43, 0, -149, 265, -117, -253
-20206, 1005, -324, 110, 3, -126, -82, 268, -117, -267
-20199, 874, -296, -28, -65, -123, -88, 292, -129, -256
-20193, 1041, -298, 47, 45, -8, -153, 313, -132, -265
-20187, 950, -279, 11, -49, -72, -100, 327, -148, -268
-20181, 988, -282, -18, 4, -6, -131, 357, -147, -268
-20174, 1016, -283, 53, -34, -91, -81, 381, -154, -274
-20168, 926, -260, -41, -66, -94, -60, 405, -163, -274
-20162, 1035, -258, 32, 22, -8, -120, 432, -187, -270
-20156, 949, -248, -17, -63, -93, -57, 450, -195, -267
-20149, 992, -244, -19, 3, -16, -100, 490, -208, -270
-20143, 1006, -239, 12, -36, -72, -59, 502, -225, -274
-20137, 993, -228, -36, -9, -32, -75, 519, -244, -262
-20131, 996, -222, -1, 13, -2, -75, 546, -259, -277
-20124, 975, -212, -8, -8, -32, -59, 547, -280, -274
-20118, 929, -197, -24, -2, -19, -84, 574, -292, -274
-20112, 978, -197, -3, -11, -39, -107, 591, -324, -271
-20106, 999, -192, -14, -16, -35, -91, 615, -360, -276
-20099, 989, -184, -23, -11, -37, -100, 624, -400, -267
