cnt, time stamp, exercise, sample, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, MAG X, MAG Y, MAG Z, raw
2413, -28734, 3, 3,                 383, 403, 843,                -4, -25, 0,                -85, -114, 33,                bytearray(b'\xc2\x8f\x7f\x01\x93\x01K\x03\xfc\xff\xe7\xff\x00\x00\xab\xff\x8e\xff!\x00')
2414, -28728, 3, 3,                 384, 402, 844,                -4, -25, 0,                -93, -108, 33,                bytearray(b'\xc8\x8f\x80\x01\x92\x01L\x03\xfc\xff\xe7\xff\x00\x00\xa3\xff\x94\xff!\x00')
2415, -28722, 3, 3,                 384, 399, 842,                -4, -25, 0,                -90, -114, 34,                bytearray(b'\xce\x8f\x80\x01\x8f\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff\x8e\xff"\x00')
2416, -28715, 3, 3,                 384, 405, 842,                -4, -25, 0,                -94, -117, 31,                bytearray(b'\xd5\x8f\x80\x01\x95\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa2\xff\x8b\xff\x1f\x00')
2417, -28709, 3, 3,                 385, 400, 841,                -5, -25, 0,                -90, -118, 39,                bytearray(b"\xdb\x8f\x81\x01\x90\x01I\x03\xfb\xff\xe7\xff\x00\x00\xa6\xff\x8a\xff\'\x00")
2418, -28703, 3, 3,                 384, 401, 842,                -4, -25, 0,                -93, -120, 37,                bytearray(b'\xe1\x8f\x80\x01\x91\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa3\xff\x88\xff%\x00')
2419, -28697, 3, 3,                 383, 403, 842,                -4, -25, 0,                -94, -115, 33,                bytearray(b'\xe7\x8f\x7f\x01\x93\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa2\xff\x8d\xff!\x00')
2420, -28690, 3, 3,                 385, 403, 843,                -4, -25, 0,                -100, -111, 31,                bytearray(b'\xee\x8f\x81\x01\x93\x01K\x03\xfc\xff\xe7\xff\x00\x00\x9c\xff\x91\xff\x1f\x00')
2421, -28684, 3, 3,                 384, 402, 843,                -4, -25, 0,                -96, -109, 31,                bytearray(b'\xf4\x8f\x80\x01\x92\x01K\x03\xfc\xff\xe7\xff\x00\x00\xa0\xff\x93\xff\x1f\x00')
2422, -28678, 3, 3,                 383, 402, 841,                -4, -25, 0,                -96, -123, 42,                bytearray(b'\xfa\x8f\x7f\x01\x92\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa0\xff\x85\xff*\x00')
2423, -28672, 3, 3,                 385, 401, 842,                -4, -25, 0,                -96, -111, 33,                bytearray(b'\x00\x90\x81\x01\x91\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa0\xff\x91\xff!\x00')
2424, -28665, 3, 3,                 384, 401, 841,                -4, -25, 0,                -97, -115, 30,                bytearray(b'\x07\x90\x80\x01\x91\x01I\x03\xfc\xff\xe7\xff\x00\x00\x9f\xff\x8d\xff\x1e\x00')
2425, -28659, 3, 3,                 383, 401, 843,                -4, -25, 0,                -102, -121, 31,                bytearray(b'\r\x90\x7f\x01\x91\x01K\x03\xfc\xff\xe7\xff\x00\x00\x9a\xff\x87\xff\x1f\x00')
2426, -28653, 3, 3,                 384, 401, 843,                -5, -25, 0,                -82, -114, 37,                bytearray(b'\x13\x90\x80\x01\x91\x01K\x03\xfb\xff\xe7\xff\x00\x00\xae\xff\x8e\xff%\x00')
2427, -28647, 3, 3,                 383, 401, 842,                -4, -25, 0,                -91, -118, 43,                bytearray(b'\x19\x90\x7f\x01\x91\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x8a\xff+\x00')
