cnt, time stamp, exercise, sample,                 ACC X, ACC Y, ACC Z,                 GYR X, GYR Y, GYR Z,                 MAG X, MAG Y, MAG Z,                 raw
306, 10451, 1, 3,                 387, 402, 841,                -4, -25, 0,                -90, -132, 34,                bytearray(b'\xd3(\x83\x01\x92\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff|\xff"\x00')
307, 10457, 1, 3,                 383, 404, 842,                -4, -25, 0,                -94, -127, 33,                bytearray(b'\xd9(\x7f\x01\x94\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa2\xff\x81\xff!\x00')
308, 10463, 1, 3,                 382, 405, 842,                -4, -25, 0,                -91, -132, 39,                bytearray(b"\xdf(~\x01\x95\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff|\xff\'\x00")
309, 10469, 1, 3,                 387, 403, 841,                -4, -25, 0,                -87, -130, 40,                bytearray(b'\xe5(\x83\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff~\xff(\x00')
310, 10476, 1, 3,                 386, 403, 841,                -4, -25, -1,                -88, -126, 39,                bytearray(b"\xec(\x82\x01\x93\x01I\x03\xfc\xff\xe7\xff\xff\xff\xa8\xff\x82\xff\'\x00")
311, 10482, 1, 3,                 385, 404, 841,                -4, -25, 0,                -87, -127, 34,                bytearray(b'\xf2(\x81\x01\x94\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff\x81\xff"\x00')
312, 10488, 1, 3,                 385, 403, 840,                -3, -25, 0,                -88, -127, 43,                bytearray(b'\xf8(\x81\x01\x93\x01H\x03\xfd\xff\xe7\xff\x00\x00\xa8\xff\x81\xff+\x00')
313, 10494, 1, 3,                 383, 404, 841,                -4, -25, 0,                -94, -127, 36,                bytearray(b'\xfe(\x7f\x01\x94\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa2\xff\x81\xff$\x00')
314, 10501, 1, 3,                 385, 404, 841,                -4, -25, 0,                -87, -121, 36,                bytearray(b'\x05)\x81\x01\x94\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff\x87\xff$\x00')
315, 10507, 1, 3,                 387, 403, 840,                -4, -25, 0,                -90, -126, 28,                bytearray(b'\x0b)\x83\x01\x93\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff\x82\xff\x1c\x00')
316, 10513, 1, 3,                 386, 403, 841,                -3, -25, 0,                -102, -121, 39,                bytearray(b"\x11)\x82\x01\x93\x01I\x03\xfd\xff\xe7\xff\x00\x00\x9a\xff\x87\xff\'\x00")
317, 10519, 1, 3,                 383, 405, 841,                -4, -25, 0,                -93, -129, 40,                bytearray(b'\x17)\x7f\x01\x95\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa3\xff\x7f\xff(\x00')
318, 10526, 1, 3,                 386, 404, 841,                -4, -25, 0,                -91, -130, 34,                bytearray(b'\x1e)\x82\x01\x94\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff~\xff"\x00')
319, 10532, 1, 3,                 386, 403, 840,                -4, -25, 0,                -90, -129, 36,                bytearray(b'$)\x82\x01\x93\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff\x7f\xff$\x00')
320, 10538, 1, 3,                 384, 404, 842,                -4, -25, 0,                -82, -126, 40,                bytearray(b'*)\x80\x01\x94\x01J\x03\xfc\xff\xe7\xff\x00\x00\xae\xff\x82\xff(\x00')
