timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
25655, 994, -302, 110, 21, -9, -2, 619, -286, -294
25662, 1008, -307, 118, -23, -42, 24, 618, -285, -286
25668, 993, -311, 91, -4, -17, 44, 606, -276, -291
25674, 1021, -331, 157, 15, -14, 65, 606, -247, -294
25680, 972, -299, 83, -23, -18, 77, 597, -213, -294
25686, 1032, -338, 139, 28, 0, 88, 585, -186, -286
25693, 947, -326, 85, -30, -51, 117, 553, -157, -294
25699, 958, -333, 101, 11, 6, 119, 528, -120, -295
25705, 941, -340, 128, 2, -19, 127, 490, -97, -297
25711, 923, -336, 90, 11, 16, 104, 463, -81, -288
25718, 933, -369, 148, 16, -7, 114, 430, -63, -292
25724, 894, -364, 135, -36, -30, 100, 403, -40, -283
25730, 940, -365, 84, 17, 44, 84, 382, -31, -277
25736, 918, -395, 169, 7, -9, 112, 360, -28, -282
25743, 861, -364, 63, -42, 7, 72, 333, -15, -273
25749, 967, -419, 166, 47, 36, 77, 316, -7, -282
25755, 884, -404, 134, -63, -54, 102, 294, 4, -274
25761, 919, -406, 103, 27, 14, 65, 285, -4, -271
25768, 909, -420, 161, -7, -54, 69, 262, 4, -273
25774, 904, -409, 103, 5, -4, 73, 252, -1, -267
25780, 929, -437, 179, 25, -36, 77, 228, 6, -267
25786, 865, -416, 112, -19, -43, 70, 213, 4, -274
25793, 916, -436, 131, 30, -2, 55, 201, -1, -270
25799, 882, -446, 158, -16, -58, 77, 183, -1, -282
25805, 881, -446, 114, -8, -9, 60, 172, -18, -264
25812, 902, -466, 183, -13, -58, 77, 160, -15, -273
25818, 870, -456, 110, -20, -7, 68, 154, -15, -267
25824, 932, -485, 167, 32, 18, 65, 136, -15, -268
25830, 851, -464, 132, -37, -44, 88, 138, -28, -271
25836, 901, -478, 128, 19, 6, 77, 111, -24, -250
25843, 871, -484, 168, -5, -32, 97, 103, -46, -268
25849, 832, -470, 102, -6, -24, 73, 88, -46, -267
25855, 884, -513, 191, 25, -13, 79, 76, -55, -271
25862, 827, -481, 119, -25, -27, 70, 60, -69, -252
25868, 888, -515, 143, 34, 6, 55, 52, -66, -258
25874, 872, -525, 183, -37, -79, 89, 52, -81, -249
25880, 834, -502, 101, -15, -27, 82, 52, -96, -247
25886, 894, -550, 213, 26, -16, 91, 33, -97, -246
25893, 822, -521, 119, -42, -42, 91, 40, -114, -243
25899, 869, -533, 128, 25, 16, 71, 19, -117, -232
25905, 862, -567, 211, -25, -66, 101, 27, -130, -237
25911, 840, -543, 100, -2, 9, 84, 21, -144, -232
25918, 859, -574, 192, 14, -5, 106, 22, -154, -229
25924, 793, -555, 119, -38, -28, 104, 24, -169, -220
25930, 843, -572, 136, 23, 21, 90, 12, -177, -210
25937, 779, -578, 160, -43, -67, 114, 24, -192, -205
25943, 791, -575, 99, -6, -6, 85, 15, -196, -196
25949, 837, -596, 189, 9, -21, 102, 13, -210, -192
25955, 726, -575, 106, -25, -61, 100, 16, -223, -180
25961, 785, -602, 158, 12, -34, 68, 13, -226, -174
25968, 740, -600, 150, -22, -69, 72, 15, -244, -177
25974, 728, -598, 124, 11, -14, 49, 10, -255, -160
25980, 748, -598, 186, 2, -50, 42, 13, -255, -172
25987, 673, -584, 115, 10, -2, -22, 12, -259, -159
25993, 734, -604, 193, 6, -42, -54, 9, -256, -159
25999, 710, -576, 110, -37, -60, -80, 18, -249, -169
26005, 779, -605, 143, 25, -15, -114, 10, -240, -178
26012, 806, -606, 145, -49, -84, -106, 10, -234, -189
26018, 841, -583, 80, -21, -67, -95, 3, -222, -184
26024, 814, -598, 151, 30, -67, -68, 4, -225, -201
26030, 823, -589, 147, -10, -62, -74, 1, -210, -216
26037, 802, -571, 121, 31, -23, -83, 0, -205, -217
26043, 799, -552, 180, 14, -49, -51, 1, -204, -219
26049, 784, -526, 105, 26, -4, -116, 4, -199, -228
26055, 835, -566, 206, 61, -30, -91, -3, -186, -232
26062, 808, -524, 132, -32, -48, -117, 1, -177, -240
26068, 858, -537, 119, 53, 21, -137, 12, -150, -252
26074, 871, -550, 224, -7, -42, -112, 12, -130, -247
26080, 847, -489, 73, -57, -3, -148, 31, -123, -243
26087, 901, -515, 159, 69, -3, -145, 46, -114, -250
26093, 813, -485, 139, -40, -102, -102, 45, -102, -250
26099, 819, -477, 91, -12, 22, -170, 84, -93, -258
26105, 882, -478, 157, -7, -67, -108, 78, -79, -270
26112, 848, -454, 74, 7, -58, -128, 100, -54, -256
26118, 963, -500, 229, 35, 24, -112, 120, -52, -256
26124, 924, -454, 105, -45, -80, -88, 144, -39, -265
26130, 894, -447, 116, 49, -10, -137, 154, -46, -271
26137, 938, -445, 180, -21, -77, -92, 177, -34, -270
26143, 886, -421, 83, -50, -27, -98, 192, -33, -271
26149, 974, -430, 154, 11, -51, -99, 207, -34, -274
26155, 884, -402, 122, -32, -53, -74, 232, -31, -271
26162, 908, -394, 110, 0, -16, -100, 253, -27, -279
26168, 928, -403, 145, -7, -70, -91, 262, -21, -283
26174, 878, -377, 80, -35, -60, -86, 285, -39, -276
26180, 968, -394, 148, 24, -52, -111, 310, -36, -277
26187, 939, -376, 110, -26, -63, -86, 330, -43, -280
26193, 957, -374, 93, 15, -11, -88, 348, -36, -280
26199, 958, -379, 154, -17, -89, -57, 363, -51, -280
26205, 947, -346, 91, -10, -27, -72, 384, -61, -280
26212, 949, -349, 112, 17, -19, -70, 405, -67, -277
26218, 937, -350, 113, -18, -44, -62, 421, -75, -283
26224, 961, -342, 103, -7, -30, -68, 439, -73, -282
26230, 922, -325, 89, 7, -25, -72, 453, -99, -288
26237, 992, -342, 137, -3, -42, -66, 466, -100, -286
26243, 932, -325, 75, -25, -45, -56, 486, -118, -288
26249, 974, -330, 118, 16, -35, -54, 490, -138, -286
26255, 927, -301, 95, -25, -41, -54, 513, -142, -289
26262, 975, -320, 110, 30, -7, -74, 525, -157, -292
26268, 968, -311, 135, -27, -67, -39, 543, -186, -292
26274, 913, -271, 45, -23, -37, -66, 553, -198, -285
26280, 998, -316, 144, 9, -51, -67, 570, -220, -295
26287, 959, -292, 82, -36, -55, -46, 588, -238, -291
26293, 987, -288, 89, 10, -20, -56, 597, -255, -276
26299, 973, -286, 105, -18, -56, -35, 604, -280, -283
