timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
3442,984,-68,221,-10,-28,3,-111,-559,469
3448,982,-68,216,-4,-23,0,-103,-562,460
3454,993,-67,219,-9,-21,4,-111,-564,459
3461,981,-69,220,-7,-11,2,-114,-555,463
3467,988,-69,225,-8,-20,0,-111,-564,471
3473,983,-67,216,-8,-35,-1,-115,-565,472
3479,990,-67,216,-7,-18,2,-109,-558,465
3486,983,-69,222,-4,-18,1,-108,-561,466
3492,986,-69,220,-6,-41,-1,-106,-561,472
3498,988,-67,213,-3,-46,-9,-112,-559,475
3504,993,-64,233,-9,-68,-14,-109,-565,472
3511,999,-57,211,-21,-91,-31,-117,-565,472
3517,997,-53,203,-20,-86,-1,-112,-570,477
3523,1017,-40,226,-7,-95,-4,-111,-556,480
3529,1053,-57,249,-25,-244,-26,-121,-550,489
3536,1038,-50,201,-23,-370,-95,-114,-558,508
3542,1094,3,180,-48,-403,-157,-121,-547,519
3548,1252,31,365,-134,-632,-244,-133,-543,543
3554,1234,-19,-104,-116,-94,-265,-154,-535,550
3561,1443,70,225,-207,1159,182,-156,-543,526
3567,1515,11,57,-293,599,548,-135,-558,495
3573,1363,92,139,-306,529,872,-114,-550,469
3579,1281,5,122,-289,113,968,-76,-550,463
3586,986,-58,194,-179,-292,996,-37,-532,469
3592,666,-183,190,-150,-385,933,-3,-529,484
3598,577,-276,159,-121,-187,865,33,-513,493
3604,376,-395,161,-142,-32,741,57,-490,499
3611,280,-554,69,-2,163,496,78,-498,493
3617,195,-587,85,-61,-107,312,91,-481,490
3623,87,-632,35,49,-235,25,97,-477,492
3629,63,-581,69,53,-348,-259,97,-466,492
3636,188,-485,150,72,-93,-517,75,-472,508
3642,401,-390,148,109,-32,-735,48,-495,511
3648,637,-243,129,65,-164,-874,24,-505,508
3654,854,-141,107,5,-82,-835,-12,-510,513
3661,927,-5,102,-18,248,-882,-37,-525,504
3667,1068,107,96,20,265,-816,-64,-541,498
3673,1024,118,99,114,-11,-970,-102,-547,487
3679,1998,-334,415,19,-72,-235,-123,-556,489
3686,1057,-432,284,-228,163,378,-111,-558,475
3692,191,167,13,-44,-176,103,-100,-544,474
3698,145,-59,19,135,-125,-364,-112,-559,489
3704,1378,-355,236,0,-68,164,-117,-549,480
3711,1524,-125,559,-26,-10,223,-105,-565,487
3717,762,-169,91,-112,-356,-71,-106,-553,496
3723,831,-49,59,-2,-395,-240,-121,-537,513
3729,1085,-50,78,-43,-161,-53,-130,-543,529
3736,934,-50,32,-35,69,92,-124,-537,526
3742,985,-86,88,38,287,77,-124,-550,505
3748,1072,-100,182,52,372,21,-108,-552,498
3754,945,-93,187,25,271,27,-112,-550,484
3761,979,-99,221,18,221,33,-108,-559,469
