timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
-19046,1002,-30,78,-9,-4,-12,-138,-541,528
-19039,1007,-15,103,-7,-48,3,-139,-538,532
-19033,994,-26,80,-4,-16,0,-135,-541,534
-19027,1024,-16,102,-2,-5,6,-144,-541,535
-19021,1038,-25,104,-11,-21,5,-145,-555,525
-19014,1018,-16,124,-13,-21,16,-138,-547,538
-19008,1065,-29,101,-18,-11,4,-135,-544,532
-19002,1084,-24,136,-34,80,62,-133,-552,534
-18996,1144,-33,177,-83,242,129,-135,-547,519
-18989,1154,-63,116,-42,128,177,-123,-552,514
-18983,1091,-58,151,-77,55,239,-120,-550,514
-18977,1102,-47,126,-52,-26,249,-109,-553,516
-18971,1062,-101,148,-32,-127,235,-100,-547,507
-18964,1082,-100,154,-56,-80,277,-93,-538,523
-18958,1014,-166,129,-57,-30,327,-79,-544,520
-18952,990,-163,151,-71,48,379,-64,-541,523
-18946,968,-206,137,-65,37,374,-51,-537,520
-18939,920,-227,153,-46,-25,337,-48,-526,519
-18933,956,-266,130,-49,-81,293,-30,-523,508
-18927,870,-300,128,-48,-53,286,-21,-517,523
-18921,931,-315,126,-65,-34,263,-12,-516,526
-18914,887,-344,157,-44,-8,234,-7,-513,514
-18908,896,-360,112,-48,35,219,0,-510,522
-18902,898,-372,110,-56,23,195,10,-499,519
-18896,869,-394,138,-49,-23,171,19,-504,511
-18889,918,-395,124,-39,-30,150,22,-505,522
-18883,865,-417,134,-25,7,150,31,-501,513
-18877,879,-426,110,-32,1,141,27,-507,523
-18871,869,-437,148,-7,-32,119,33,-496,525
-18864,911,-449,179,-24,-45,105,45,-496,516
-18858,953,-460,215,-13,-70,116,49,-501,520
-18852,944,-501,140,-77,7,150,49,-498,528
-18846,918,-478,113,-80,-12,173,57,-484,528
-18839,885,-473,106,-74,9,212,60,-484,519
-18833,846,-506,59,-51,-70,189,66,-484,526
-18827,837,-494,102,-41,-34,197,73,-477,525
-18821,792,-552,88,-61,-104,141,82,-475,520
-18814,727,-553,101,-31,-44,142,79,-466,531
-18808,642,-565,103,-39,-81,86,79,-472,534
-18802,637,-566,70,-15,-47,10,87,-472,535
-18796,619,-560,88,28,3,-84,81,-477,529
-18789,671,-536,102,41,4,-161,72,-472,531
-18783,759,-542,93,35,-11,-230,67,-484,525
-18777,811,-502,99,18,-54,-262,69,-490,526
-18771,817,-479,93,39,-4,-283,64,-483,523
-18764,870,-447,80,24,-7,-313,42,-493,532
-18758,899,-411,78,60,-49,-315,36,-495,522
-18752,931,-401,65,55,-88,-336,24,-502,525
-18746,957,-368,98,80,-208,-335,15,-508,520
-18739,911,-359,80,51,-117,-317,3,-505,535
-18733,978,-329,96,54,8,-298,-6,-507,528
-18727,975,-315,126,46,0,-280,-37,-514,526
-18721,1037,-276,99,38,-1,-263,-30,-525,532
-18714,980,-263,118,30,32,-232,-42,-516,529
-18708,1056,-254,91,12,61,-221,-51,-526,529
-18702,1054,-226,122,45,16,-186,-57,-525,526
-18696,1001,-207,100,27,60,-144,-55,-531,526
-18689,1025,-202,127,48,-100,-195,-61,-526,523
-18683,979,-184,147,49,-182,-205,-79,-526,537
-18677,957,-170,95,26,-177,-211,-91,-529,543
-18671,956,-140,107,32,-66,-198,-94,-525,549
-18664,1035,-125,93,7,-14,-226,-96,-532,541
-18658,1040,-92,99,30,-164,-228,-108,-535,543
-18652,1009,-89,65,-4,-122,-228,-112,-532,553
-18646,1051,-69,53,23,-67,-217,-112,-532,547
