cnt, time stamp, exercise, sample, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, MAG X, MAG Y, MAG Z, raw
27, -15504, 3, 1,                 379, 404, 841,                -4, -25, 0,                -88, -135, 46,                bytearray(b'p\xc3{\x01\x94\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa8\xffy\xff.\x00')
28, -15498, 3, 1,                 387, 405, 839,                -3, -27, 0,                -87, -127, 43,                bytearray(b'v\xc3\x83\x01\x95\x01G\x03\xfd\xff\xe5\xff\x00\x00\xa9\xff\x81\xff+\x00')
29, -15492, 3, 1,                 388, 400, 835,                -4, -25, 0,                -90, -136, 42,                bytearray(b'|\xc3\x84\x01\x90\x01C\x03\xfc\xff\xe7\xff\x00\x00\xa6\xffx\xff*\x00')
30, -15486, 3, 1,                 387, 408, 839,                -4, -25, -1,                -97, -130, 33,                bytearray(b'\x82\xc3\x83\x01\x98\x01G\x03\xfc\xff\xe7\xff\xff\xff\x9f\xff~\xff!\x00')
31, -15479, 3, 1,                 380, 401, 841,                -5, -25, 0,                -88, -127, 40,                bytearray(b'\x89\xc3|\x01\x91\x01I\x03\xfb\xff\xe7\xff\x00\x00\xa8\xff\x81\xff(\x00')
32, -15473, 3, 1,                 385, 403, 839,                -3, -26, 0,                -87, -130, 48,                bytearray(b'\x8f\xc3\x81\x01\x93\x01G\x03\xfd\xff\xe6\xff\x00\x00\xa9\xff~\xff0\x00')
33, -15467, 3, 1,                 387, 405, 839,                -4, -25, 0,                -87, -136, 45,                bytearray(b'\x95\xc3\x83\x01\x95\x01G\x03\xfc\xff\xe7\xff\x00\x00\xa9\xffx\xff-\x00')
34, -15461, 3, 1,                 385, 403, 839,                -4, -25, 0,                -84, -117, 42,                bytearray(b'\x9b\xc3\x81\x01\x93\x01G\x03\xfc\xff\xe7\xff\x00\x00\xac\xff\x8b\xff*\x00')
35, -15454, 3, 1,                 385, 401, 839,                -3, -25, 0,                -91, -130, 40,                bytearray(b'\xa2\xc3\x81\x01\x91\x01G\x03\xfd\xff\xe7\xff\x00\x00\xa5\xff~\xff(\x00')
36, -15448, 3, 1,                 383, 404, 840,                -4, -25, 0,                -87, -138, 45,                bytearray(b'\xa8\xc3\x7f\x01\x94\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa9\xffv\xff-\x00')
37, -15442, 3, 1,                 386, 403, 837,                -4, -26, 0,                -90, -129, 42,                bytearray(b'\xae\xc3\x82\x01\x93\x01E\x03\xfc\xff\xe6\xff\x00\x00\xa6\xff\x7f\xff*\x00')
38, -15436, 3, 1,                 388, 404, 838,                -3, -25, 0,                -91, -135, 40,                bytearray(b'\xb4\xc3\x84\x01\x94\x01F\x03\xfd\xff\xe7\xff\x00\x00\xa5\xffy\xff(\x00')
39, -15429, 3, 1,                 385, 403, 840,                -4, -25, 0,                -88, -132, 40,                bytearray(b'\xbb\xc3\x81\x01\x93\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff|\xff(\x00')
40, -15423, 3, 1,                 383, 404, 840,                -3, -25, 0,                -85, -124, 49,                bytearray(b'\xc1\xc3\x7f\x01\x94\x01H\x03\xfd\xff\xe7\xff\x00\x00\xab\xff\x84\xff1\x00')
41, -15417, 3, 1,                 383, 402, 839,                -4, -25, 0,                -90, -124, 43,                bytearray(b'\xc7\xc3\x7f\x01\x92\x01G\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff\x84\xff+\x00')
42, -15411, 3, 1,                 387, 403, 838,                -4, -26, 0,                -85, -132, 42,                bytearray(b'\xcd\xc3\x83\x01\x93\x01F\x03\xfc\xff\xe6\xff\x00\x00\xab\xff|\xff*\x00')
43, -15404, 3, 1,                 386, 402, 838,                -4, -25, 0,                -84, -130, 39,                bytearray(b"\xd4\xc3\x82\x01\x92\x01F\x03\xfc\xff\xe7\xff\x00\x00\xac\xff~\xff\'\x00")
44, -15398, 3, 1,                 383, 403, 839,                -3, -25, 0,                -87, -129, 42,                bytearray(b'\xda\xc3\x7f\x01\x93\x01G\x03\xfd\xff\xe7\xff\x00\x00\xa9\xff\x7f\xff*\x00')
45, -15392, 3, 1,                 383, 405, 839,                -3, -25, 0,                -84, -129, 40,                bytearray(b'\xe0\xc3\x7f\x01\x95\x01G\x03\xfd\xff\xe7\xff\x00\x00\xac\xff\x7f\xff(\x00')
46, -15386, 3, 1,                 387, 403, 838,                -4, -25, 0,                -91, -124, 39,                bytearray(b"\xe6\xc3\x83\x01\x93\x01F\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x84\xff\'\x00")
