timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
30179,995,-46,172,-10,-21,2,-136,-550,475
30186,995,-45,171,-7,-16,2,-129,-555,474
30192,996,-45,173,-7,-17,1,-132,-555,474
30198,996,-45,175,-8,-25,2,-130,-553,474
30204,994,-46,169,-10,-25,0,-139,-561,478
30211,998,-39,166,-2,-10,-7,-126,-556,475
30217,1003,-48,179,-14,-26,-4,-129,-558,478
30223,992,-41,174,-18,-53,5,-130,-553,483
30229,1001,-45,169,-16,-75,3,-139,-555,475
30236,1076,-49,230,-33,-184,3,-126,-559,481
30242,1075,-50,216,-86,-373,32,-138,-549,496
30248,1008,-45,138,-87,-419,33,-124,-543,514
30254,1061,-25,34,-63,-350,19,-127,-531,525
30261,1068,-46,-3,-56,-259,30,-126,-537,540
30267,1068,-76,111,-113,148,158,-129,-522,543
30273,1319,-33,63,-62,409,226,-127,-532,525
30279,1391,-36,167,-46,-212,235,-118,-534,528
30286,1222,-143,233,-128,319,326,-100,-534,522
30292,1332,-111,88,-142,62,358,-87,-531,507
30298,1179,-105,140,-155,-207,460,-70,-522,529
30304,1046,-84,126,-203,10,632,-51,-519,525
30311,1004,-177,68,-219,39,681,-27,-508,529
30317,912,-255,120,-251,-39,694,-3,-514,531
30323,882,-332,66,-203,-64,688,25,-501,532
30329,769,-345,57,-198,-112,566,34,-483,547
30336,770,-430,31,-180,13,544,48,-475,546
30342,663,-482,17,-181,122,515,67,-462,544
30348,746,-539,40,-167,76,464,82,-466,541
30354,611,-607,-8,-180,49,415,100,-450,546
30361,519,-606,-52,-193,64,360,103,-442,553
30367,475,-649,-25,-130,-116,205,109,-438,552
30373,442,-656,-37,-51,56,105,117,-433,559
30379,530,-719,-110,-20,-34,-27,115,-433,555
30386,528,-720,-5,40,-60,-71,117,-436,553
30392,592,-629,-43,12,65,-140,111,-447,555
30398,666,-621,37,23,-110,-231,112,-448,553
30404,707,-587,18,84,35,-238,97,-451,555
30411,716,-628,12,43,-84,-305,84,-454,549
30417,737,-529,40,96,8,-289,88,-454,543
30423,762,-613,29,64,38,-325,70,-475,540
30429,688,-478,76,84,1,-331,54,-480,540
30436,743,-497,2,77,84,-427,46,-483,544
30442,761,-373,115,107,14,-470,36,-486,534
30448,830,-390,0,151,11,-613,10,-511,525
30454,790,-298,107,142,-63,-656,-6,-508,517
30461,883,-232,87,162,25,-646,-39,-513,522
30467,967,-217,63,140,-39,-651,-63,-526,525
30473,1075,-125,111,142,-106,-566,-76,-516,516
30479,1181,-87,104,154,-178,-495,-99,-526,526
30486,1211,-130,81,103,-520,-462,-111,-528,532
30492,1108,-19,100,79,-280,-291,-124,-522,553
30498,1147,-60,13,42,-165,-269,-142,-510,559
30504,1073,19,23,50,15,-233,-147,-508,558
30511,1495,-48,80,62,107,-184,-156,-516,549
30517,1577,21,201,75,193,34,-156,-519,537
30523,1057,-51,30,-142,54,184,-148,-525,531
30529,753,-18,27,-73,-21,48,-147,-525,531
30536,868,-52,-31,74,129,-67,-153,-525,532
30542,1007,-42,111,21,128,-7,-148,-525,516
30548,1179,-36,99,-2,82,4,-142,-534,520
30554,1097,-29,115,-37,-14,-13,-150,-532,519
30561,980,-28,72,-39,-51,-32,-157,-532,525
30567,988,-34,73,-23,-67,-13,-150,-534,519
30573,1015,-37,63,-24,-64,17,-147,-528,528
30579,1013,-38,59,-18,-50,21,-150,-532,520
30586,1020,-36,58,-7,-40,-8,-156,-528,528
30592,1008,-33,56,-4,-25,-16,-150,-529,522
30598,998,-26,49,-2,2,-4,-156,-529,528
30604,1011,-29,60,15,28,5,-151,-531,519
30611,1011,-34,72,7,34,8,-156,-534,522
30617,1005,-38,77,4,26,4,-145,-540,505
30623,1007,-36,78,1,18,3,-147,-537,520
30629,1008,-35,79,-1,4,1,-148,-534,513
30636,1007,-35,82,-7,-11,0,-150,-535,517
30642,1007,-35,80,-7,-12,1,-154,-534,526
30648,1007,-34,79,-6,-11,1,-150,-537,508
30654,1006,-34,78,-1,0,2,-154,-534,513
30661,1005,-34,82,-2,6,2,-151,-528,519
30667,1005,-35,84,-3,9,3,-148,-534,508
30673,1007,-35,90,0,13,3,-150,-543,511
30679,1006,-35,91,0,11,3,-148,-526,504
30686,1006,-35,93,-3,2,2,-153,-538,514
30692,1006,-36,98,-4,-2,3,-153,-540,510
30698,1006,-36,97,-7,-11,2,-153,-540,508
