timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
8909,870,21,-62,-102,191,-384,-135,-499,601
8915,978,101,-38,-150,233,-428,-147,-502,592
8922,1026,69,-169,-133,256,-403,-165,-514,579
8928,1016,202,-71,-134,60,-454,-195,-511,573
8934,984,195,-80,-148,0,-466,-201,-516,567
8940,949,219,-33,-168,-88,-469,-229,-508,571
8947,1000,281,15,-235,-123,-418,-261,-505,583
8953,936,352,9,-312,-147,-405,-267,-499,586
8959,939,368,-101,-505,-221,-322,-298,-489,589
8965,869,368,42,-496,-178,-365,-315,-481,580
8972,884,360,-175,-394,5,-340,-342,-478,582
8978,936,316,-135,-282,145,-282,-357,-474,570
8984,958,326,7,-206,68,-230,-375,-474,564
8990,965,317,21,-226,32,-174,-382,-471,573
8997,943,408,108,-294,8,-88,-384,-475,549
9003,924,239,-28,-276,111,-24,-393,-472,544
9009,920,243,-55,-178,100,-51,-400,-475,544
9015,1052,204,1,-135,48,-77,-405,-468,528
9022,1008,311,21,-104,-116,2,-408,-472,531
9028,896,317,85,-72,-6,-1,-397,-469,535
9034,927,432,66,-13,-41,-80,-408,-474,535
9040,887,493,63,32,-65,-64,-406,-469,529
9047,934,478,74,81,-1,-61,-414,-465,540
9053,887,473,9,105,24,-39,-415,-463,534
9059,893,402,21,143,123,-22,-412,-468,538
9065,927,286,73,118,164,35,-415,-472,526
9072,955,333,37,144,137,76,-399,-475,532
9078,1003,361,111,113,34,161,-393,-484,517
9084,976,409,84,90,-91,216,-391,-484,529
9090,936,381,82,129,-115,233,-378,-483,523
9097,944,362,81,169,-77,242,-369,-490,544
9103,955,335,66,204,-50,242,-363,-490,544
9109,890,343,97,161,-88,240,-346,-496,543
9115,917,359,73,110,-166,205,-331,-504,550
9122,989,366,15,99,-175,205,-322,-496,552
9128,968,325,8,135,-83,255,-312,-507,562
9134,992,243,-50,192,-17,275,-298,-507,564
9140,907,193,-1,187,-34,315,-277,-510,565
9147,881,201,30,210,-80,266,-271,-516,561
9153,982,230,-52,282,-106,295,-253,-519,571
9159,1051,191,46,256,-198,372,-232,-508,579
9165,1056,153,-15,205,-255,422,-217,-507,588
9172,909,67,-70,159,-270,449,-186,-499,589
9178,911,165,-76,197,-313,413,-172,-508,601
9184,1028,92,-110,163,-330,399,-157,-496,610
9190,1107,54,-171,155,-340,417,-138,-487,619
9197,1045,-69,-216,203,-331,511,-117,-478,637
9203,953,7,-115,279,-420,537,-90,-474,646
9209,1045,-41,-163,-58,-660,375,-70,-453,657
9215,1060,-69,-334,-124,-678,215,-66,-439,678
9222,935,-112,-390,-127,-486,30,-69,-420,699
9228,814,-131,-456,-75,-186,-56,-69,-411,702
9234,827,-142,-434,60,165,-23,-70,-399,700
9240,899,-157,-368,110,317,32,-78,-418,693
9247,968,-171,-281,116,354,53,-61,-427,679
9253,994,-193,-261,81,283,22,-63,-438,672
9259,961,-198,-245,25,179,-9,-60,-439,663
9265,973,-189,-213,8,74,-5,-63,-447,648
9272,983,-181,-228,-13,-9,19,-55,-453,657
9278,965,-184,-230,-43,-41,23,-63,-457,663
9284,960,-180,-248,-41,-52,2,-57,-454,658
9290,957,-178,-251,-25,-44,-2,-60,-453,658
