timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
11842, 255, 105, 978, 0, -29, 0, -337, 112, -39
11848, 249, 102, 973, -2, -28, 0, -339, 114, -25
11854, 244, 104, 976, 0, -26, 0, -340, 114, -31
11860, 254, 104, 978, -1, -29, -1, -339, 106, -28
11867, 254, 103, 978, -2, -27, 0, -336, 105, -36
11873, 249, 102, 978, 0, -28, 0, -334, 109, -34
11879, 251, 107, 980, -2, -27, -1, -330, 114, -43
11885, 251, 104, 978, -3, -28, -1, -346, 111, -37
11892, 249, 102, 978, -2, -28, 0, -345, 103, -40
11898, 252, 103, 978, -1, -29, 0, -331, 114, -36
11904, 250, 103, 977, -1, -28, 0, -343, 111, -28
11910, 250, 105, 978, -2, -28, 0, -333, 108, -30
11917, 250, 104, 977, -2, -28, 0, -334, 108, -33
11923, 252, 103, 977, -2, -28, 0, -342, 106, -30
11929, 251, 104, 978, -1, -28, 0, -339, 108, -28
11935, 252, 104, 978, -2, -28, 0, -337, 111, -27
11942, 251, 104, 977, -2, -28, 0, -340, 108, -27
