timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
-7096,947,-67,361,-4,-1,-4,-105,-565,402
-7089,955,-68,362,-6,-42,1,-96,-580,399
-7083,949,-67,348,-11,-63,8,-102,-571,409
-7077,949,-71,345,-9,-40,7,-102,-568,406
-7071,948,-72,342,-8,-17,4,-105,-570,414
-7064,950,-68,352,-6,-11,2,-103,-570,408
-7058,955,-70,348,-7,-21,6,-100,-570,405
-7052,949,-69,349,-7,-30,7,-100,-567,412
-7046,956,-69,361,-10,-56,9,-109,-574,409
-7039,954,-73,357,-11,-93,-4,-105,-568,408
-7033,1014,-58,327,0,-123,-23,-106,-571,405
-7027,988,-67,358,12,-132,-38,-99,-576,417
-7021,908,-58,306,-30,-257,-58,-111,-570,420
-7014,1048,-27,328,-17,-292,-114,-115,-562,438
-7008,1058,-47,307,-72,-351,-158,-121,-573,444
-7002,1056,-16,238,-90,-149,-142,-124,-562,457
-6996,1097,59,223,-23,6,-157,-145,-570,457
-6989,1030,64,185,-16,262,-205,-144,-561,465
-6983,979,121,311,-37,475,-140,-160,-567,441
-6977,997,143,369,-123,708,-172,-165,-577,414
-6971,1068,110,390,-99,588,-194,-175,-580,393
-6964,889,107,453,-126,466,-115,-168,-574,357
-6958,838,109,500,-179,381,-105,-186,-570,343
-6952,731,115,521,-207,544,-134,-204,-570,322
-6946,745,128,529,-236,619,-226,-195,-567,294
-6939,724,127,563,-231,438,-316,-199,-562,277
-6933,664,134,578,-228,259,-392,-228,-555,256
-6927,768,139,645,-254,99,-412,-234,-549,243
-6921,819,125,687,-376,21,-410,-256,-549,252
-6914,779,120,698,-374,114,-263,-261,-538,238
-6908,746,104,701,-440,108,-205,-267,-534,225
-6902,752,13,649,-368,87,-137,-273,-535,220
-6896,845,-141,607,-280,-205,-126,-276,-537,219
-6889,840,-230,573,-172,-282,-42,-271,-532,225
-6883,825,-328,528,-91,-131,60,-273,-540,225
-6877,804,-325,513,-26,-26,112,-273,-543,231
-6871,735,-255,495,16,37,98,-259,-537,229
-6864,737,-194,525,66,36,76,-268,-535,228
-6858,711,-127,544,79,49,49,-252,-541,226
-6852,721,-134,633,16,-51,7,-259,-544,234
-6846,725,-73,623,-79,-1,48,-255,-543,229
-6839,766,-12,641,-120,125,179,-244,-546,220
-6833,772,54,614,-91,188,308,-232,-538,223
-6827,844,75,605,25,172,432,-210,-541,214
-6821,856,108,650,126,-178,489,-193,-550,217
-6814,846,118,652,266,-394,490,-178,-552,223
-6808,865,50,664,415,-438,563,-156,-552,241
-6802,860,33,663,397,-590,581,-138,-552,259
-6796,718,-15,479,414,-992,471,-121,-565,291
-6789,660,33,442,396,-1391,424,-102,-562,340
-6783,590,65,394,315,-1163,261,-93,-559,390
-6777,545,6,411,231,-453,-44,-90,-562,424
-6771,787,-48,405,143,151,-305,-93,-568,427
-6764,1515,-35,410,154,195,-487,-105,-565,418
-6758,1952,-35,653,72,-226,-27,-114,-574,412
-6752,1057,13,368,-170,83,170,-106,-580,406
-6746,876,-21,278,-35,-78,-11,-109,-568,406
-6739,840,-75,222,15,-178,-64,-118,-574,408
