cnt, time stamp, exercise, sample, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, MAG X, MAG Y, MAG Z, raw
2013, -31234, 3, 1,                 383, 402, 843,                -4, -25, 0,                -93, -114, 42,                bytearray(b'\xfe\x85\x7f\x01\x92\x01K\x03\xfc\xff\xe7\xff\x00\x00\xa3\xff\x8e\xff*\x00')
2014, -31228, 3, 1,                 390, 405, 845,                -4, -26, 0,                -91, -115, 36,                bytearray(b'\x04\x86\x86\x01\x95\x01M\x03\xfc\xff\xe6\xff\x00\x00\xa5\xff\x8d\xff$\x00')
2015, -31222, 3, 1,                 384, 402, 841,                -4, -25, 0,                -93, -114, 34,                bytearray(b'\n\x86\x80\x01\x92\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa3\xff\x8e\xff"\x00')
2016, -31215, 3, 1,                 384, 402, 842,                -4, -25, 1,                -96, -111, 49,                bytearray(b'\x11\x86\x80\x01\x92\x01J\x03\xfc\xff\xe7\xff\x01\x00\xa0\xff\x91\xff1\x00')
2017, -31209, 3, 1,                 384, 395, 841,                -6, -25, 0,                -91, -114, 42,                bytearray(b'\x17\x86\x80\x01\x8b\x01I\x03\xfa\xff\xe7\xff\x00\x00\xa5\xff\x8e\xff*\x00')
2018, -31203, 3, 1,                 382, 397, 843,                -2, -25, 0,                -100, -120, 34,                bytearray(b'\x1d\x86~\x01\x8d\x01K\x03\xfe\xff\xe7\xff\x00\x00\x9c\xff\x88\xff"\x00')
2019, -31197, 3, 1,                 386, 403, 841,                -2, -25, 0,                -96, -114, 39,                bytearray(b"#\x86\x82\x01\x93\x01I\x03\xfe\xff\xe7\xff\x00\x00\xa0\xff\x8e\xff\'\x00")
2020, -31190, 3, 1,                 386, 401, 839,                -4, -25, 0,                -87, -120, 37,                bytearray(b'*\x86\x82\x01\x91\x01G\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff\x88\xff%\x00')
2021, -31184, 3, 1,                 381, 402, 844,                -4, -25, 0,                -100, -114, 36,                bytearray(b'0\x86}\x01\x92\x01L\x03\xfc\xff\xe7\xff\x00\x00\x9c\xff\x8e\xff$\x00')
2022, -31178, 3, 1,                 383, 401, 842,                -3, -25, 0,                -102, -121, 39,                bytearray(b"6\x86\x7f\x01\x91\x01J\x03\xfd\xff\xe7\xff\x00\x00\x9a\xff\x87\xff\'\x00")
2023, -31172, 3, 1,                 387, 401, 841,                -4, -25, 0,                -97, -124, 34,                bytearray(b'<\x86\x83\x01\x91\x01I\x03\xfc\xff\xe7\xff\x00\x00\x9f\xff\x84\xff"\x00')
2024, -31165, 3, 1,                 384, 402, 842,                -4, -25, 0,                -99, -117, 37,                bytearray(b'C\x86\x80\x01\x92\x01J\x03\xfc\xff\xe7\xff\x00\x00\x9d\xff\x8b\xff%\x00')
2025, -31159, 3, 1,                 381, 401, 844,                -4, -25, 0,                -88, -117, 37,                bytearray(b'I\x86}\x01\x91\x01L\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff\x8b\xff%\x00')
2026, -31153, 3, 1,                 386, 401, 842,                -4, -25, 0,                -91, -114, 36,                bytearray(b'O\x86\x82\x01\x91\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x8e\xff$\x00')
2027, -31147, 3, 1,                 383, 401, 843,                -4, -25, 0,                -96, -112, 34,                bytearray(b'U\x86\x7f\x01\x91\x01K\x03\xfc\xff\xe7\xff\x00\x00\xa0\xff\x90\xff"\x00')
2028, -31140, 3, 1,                 382, 403, 842,                -4, -25, 0,                -102, -112, 27,                bytearray(b'\\\x86~\x01\x93\x01J\x03\xfc\xff\xe7\xff\x00\x00\x9a\xff\x90\xff\x1b\x00')
2029, -31134, 3, 1,                 385, 401, 842,                -4, -25, 0,                -91, -121, 30,                bytearray(b'b\x86\x81\x01\x91\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x87\xff\x1e\x00')
2030, -31128, 3, 1,                 384, 402, 843,                -4, -25, -1,                -91, -115, 37,                bytearray(b'h\x86\x80\x01\x92\x01K\x03\xfc\xff\xe7\xff\xff\xff\xa5\xff\x8d\xff%\x00')
2031, -31122, 3, 1,                 381, 403, 842,                -4, -25, 0,                -91, -118, 37,                bytearray(b'n\x86}\x01\x93\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x8a\xff%\x00')
2032, -31115, 3, 1,                 386, 402, 842,                -4, -25, 0,                -99, -114, 30,                bytearray(b'u\x86\x82\x01\x92\x01J\x03\xfc\xff\xe7\xff\x00\x00\x9d\xff\x8e\xff\x1e\x00')
2033, -31109, 3, 1,                 384, 401, 841,                -4, -25, 0,                -93, -121, 40,                bytearray(b'{\x86\x80\x01\x91\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa3\xff\x87\xff(\x00')
2034, -31103, 3, 1,                 382, 402, 844,                -4, -25, 0,                -87, -111, 43,                bytearray(b'\x81\x86~\x01\x92\x01L\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff\x91\xff+\x00')
