timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
-7375, 1005, -182, 185, 15, -40, 28, 199, -501, -426
-7368, 968, -181, 154, 7, -30, 26, 184, -496, -438
-7362, 1002, -182, 172, 23, -4, 10, 183, -487, -433
-7356, 1005, -187, 197, 0, -39, 38, 172, -477, -441
-7350, 999, -185, 165, 5, -2, 42, 168, -453, -442
-7343, 997, -189, 206, 4, -34, 59, 168, -441, -444
-7337, 965, -193, 190, 0, 3, 52, 159, -420, -445
-7331, 972, -200, 182, -2, 23, 32, 157, -399, -460
-7325, 991, -215, 183, -16, -7, 53, 169, -366, -456
-7318, 1015, -216, 226, -15, -18, 30, 156, -343, -456
-7312, 988, -207, 174, -32, 18, 77, 162, -310, -471
-7306, 995, -217, 170, -11, -7, 18, 154, -282, -478
-7300, 972, -230, 211, -23, -22, 82, 147, -243, -466
-7293, 956, -233, 135, -12, 52, 91, 127, -214, -468
-7287, 987, -247, 220, 41, 81, 91, 111, -186, -462
-7281, 974, -243, 210, -11, 44, 102, 87, -157, -456
-7275, 965, -251, 187, 26, 37, 112, 49, -139, -447
-7268, 956, -255, 227, 16, 27, 114, 18, -112, -444
-7262, 934, -264, 201, 46, 58, 97, -18, -94, -423
-7256, 954, -264, 262, 49, 62, 114, -43, -84, -417
-7250, 903, -279, 245, 11, 9, 98, -78, -90, -405
-7243, 948, -280, 292, 26, 60, 91, -102, -69, -391
-7237, 907, -289, 270, -16, 41, 99, -111, -61, -382
-7231, 928, -298, 249, 7, 69, 63, -139, -57, -381
-7225, 909, -308, 300, -1, 35, 100, -153, -54, -373
-7218, 872, -319, 264, -25, 50, 76, -166, -51, -361
-7212, 934, -323, 282, -12, 53, 46, -183, -48, -369
-7206, 911, -337, 276, -11, 50, 77, -193, -37, -352
-7200, 913, -345, 307, 7, 71, 84, -216, -45, -358
-7193, 895, -341, 292, -33, 4, 81, -223, -33, -349
-7187, 913, -355, 289, 0, 46, 70, -234, -54, -346
-7181, 897, -354, 310, -27, 15, 114, -264, -57, -336
-7175, 853, -362, 267, 2, 46, 95, -265, -72, -333
-7168, 895, -377, 361, 35, 119, 88, -289, -70, -327
-7162, 860, -381, 337, 25, 120, 68, -318, -76, -324
-7156, 905, -378, 373, 32, 127, 67, -324, -79, -321
-7150, 836, -379, 360, 0, 123, 103, -330, -79, -322
-7143, 823, -386, 320, 4, 68, 63, -333, -96, -316
-7137, 866, -402, 391, 33, 172, 65, -345, -108, -307
-7131, 801, -397, 364, -25, 8, 63, -352, -108, -310
-7125, 854, -423, 410, 32, 101, 37, -354, -115, -304
-7118, 874, -418, 492, 10, 136, 69, -358, -118, -310
-7112, 825, -410, 360, -70, 25, 67, -351, -136, -307
-7106, 833, -421, 414, 25, 93, 84, -360, -144, -304
-7100, 783, -435, 451, -15, 11, 96, -351, -151, -300
-7093, 790, -435, 433, -21, 82, 61, -349, -166, -307
-7087, 812, -438, 471, -20, 50, 73, -345, -177, -297
-7081, 778, -449, 410, -39, 30, 64, -328, -180, -292
-7075, 804, -446, 455, -14, 77, 56, -331, -192, -288
-7068, 762, -451, 415, -51, 6, 81, -313, -195, -288
